assemblage_id,mechanism,error_rate,eligible_individual_share_median,eligible_individual_share_p10,eligible_individual_share_p90,expected_reassigned_pct_median,expected_reassigned_pct_p10,expected_reassigned_pct_p90,n_eligible_source_species_median,n_eligible_source_species_p10,n_eligible_source_species_p90,n_source_species_median,n_source_species_p10,n_source_species_p90,gamma_change_pct_median,gamma_change_pct_p10,gamma_change_pct_p90,mean_q0_change_pct_median,mean_q0_change_pct_p10,mean_q0_change_pct_p90,mean_q1_change_pct_median,mean_q1_change_pct_p10,mean_q1_change_pct_p90,mean_q2_change_pct_median,mean_q2_change_pct_p10,mean_q2_change_pct_p90,bray_mean_change_pct_median,bray_mean_change_pct_p10,bray_mean_change_pct_p90,sorensen_mean_change_pct_median,sorensen_mean_change_pct_p10,sorensen_mean_change_pct_p90,q0_stability_median,q0_stability_p10,q0_stability_p90,bray_stability_median,bray_stability_p10,bray_stability_p90,sorensen_stability_median,sorensen_stability_p10,sorensen_stability_p90,n_iter
araneae_pitfall,observed_pool,0.01,0.9313241765568743,0.9313241765568743,0.9313241765568743,0.9313241765568743,0.9313241765568743,0.9313241765568743,156,156,156,221,221,221,0,-0.4524886877828038,0,3.828306264501169,3.4454756380510476,4.686774941995365,2.0351135299025436,1.53643707723212,2.71789229017694,1.2512890167004964,0.7716594460246928,1.9303369855850327,-0.06649765361090854,-0.08416716005850033,-0.03245728221819564,-0.1399566595311541,-0.3279266759710264,0.018732832553816237,0.9943427984640536,0.9923917132415995,0.9950327771852675,0.9901719427876056,0.9863228139474323,0.993433554848913,0.9859686683315432,0.980314613440752,0.9903548149751131,20
araneae_pitfall,observed_pool,0.02,0.9313241765568743,0.9313241765568743,0.9313241765568743,1.8626483531137485,1.8626483531137485,1.8626483531137485,156,156,156,221,221,221,-0.4524886877828038,-0.9502262443438879,0,6.902552204176349,6.577726218097451,7.424593967517401,4.20232707251067,3.7571852338065748,5.048381310088567,2.8154125489965764,2.2626355784531316,3.5857790651975168,-0.1265552440729678,-0.20959315612744223,-0.08104585071682989,-0.3014677999716109,-0.5168287698902452,-0.00662839418190003,0.9905005842064256,0.9889718905209961,0.993313431708665,0.9811838336224328,0.9709401919878998,0.9895730193972732,0.9743008126577324,0.9646128940024191,0.9830884894766575,20
araneae_pitfall,observed_pool,0.03,0.9313241765568743,0.9313241765568743,0.9313241765568743,2.7939725296706226,2.7939725296706226,2.7939725296706226,156,156,156,221,221,221,-0.4524886877828038,-0.9049773755656076,0,9.222737819025529,8.097447795823673,10.220417633410669,6.594868331612192,5.71778082824439,7.115287796192745,4.574476059955934,3.8006354963453215,5.07986238812762,-0.21606104198746978,-0.3028502817633705,-0.10977629582291981,-0.4908218633033201,-0.6943139774637441,-0.0748534523724553,0.9873892920170891,0.9839108016479575,0.9902192516931148,0.9738398706833856,0.9648232274709132,0.9830256504379424,0.966941693352943,0.9625303073638678,0.9752664266123425,20
araneae_pitfall,observed_pool,0.04,0.9313241765568743,0.9313241765568743,0.9313241765568743,3.725296706227497,3.725296706227497,3.725296706227497,156,156,156,221,221,221,-0.4524886877828038,-0.9502262443438879,0,10.846867749419953,10.185614849187932,12.296983758700698,8.327695313812711,7.806636981085275,9.441246832432398,5.7747649987455745,5.197714264998554,6.6708363500548185,-0.29514872991801,-0.3564442913988685,-0.18680154805858604,-0.6818332046105935,-0.9254585696202877,-0.29374407664293767,0.98528192228722,0.9818996922533079,0.9900779416671631,0.9697437354423802,0.9580865597457315,0.981913099599865,0.9616059533523204,0.9498597365333452,0.9740031302881056,20
araneae_pitfall,observed_pool,0.05,0.9313241765568743,0.9313241765568743,0.9313241765568743,4.656620882784372,4.656620882784372,4.656620882784372,156,156,156,221,221,221,-0.6787330316742057,-1.3574660633484115,0,12.529002320185612,11.125290023201856,13.468677494199538,10.392759916163108,9.52942308871997,11.323947041579535,7.463342209359835,6.507626169071794,8.671074993730818,-0.32719789275135747,-0.45740218431111423,-0.2071547363799052,-0.6842232870387821,-1.140819586751306,-0.16042863834312748,0.9863554489030748,0.9803376699577728,0.9884694866556365,0.9602436511775378,0.9466430420623778,0.9757083800065327,0.9574634060183664,0.945535101503403,0.9653648514238666,20
araneae_pitfall,observed_pool,0.060000000000000005,0.9313241765568743,0.9313241765568743,0.9313241765568743,5.587945059341245,5.587945059341245,5.587945059341245,156,156,156,221,221,221,-0.4524886877828038,-1.8099547511312264,0,13.979118329466356,12.169373549884005,15.127610208816701,11.935284108870604,10.790051275059742,13.279338593365996,8.74985895352557,7.456705458314253,10.5879706742381,-0.41778046289607795,-0.6081180937236075,-0.2357379640788803,-0.8677243390830647,-1.4058443537678378,-0.319345374322447,0.9840872157696743,0.9797941782570865,0.9873005919736423,0.9562168577449246,0.9313058080053869,0.9755910032390672,0.9499499233051001,0.9369976277337968,0.9652287556064814,20
araneae_pitfall,observed_pool,0.06999999999999999,0.9313241765568743,0.9313241765568743,0.9313241765568743,6.519269235898118,6.519269235898118,6.519269235898118,156,156,156,221,221,221,-0.9049773755656076,-1.8552036199095066,-0.4524886877828038,15.081206496519727,14.025522041763343,15.904872389791196,14.235532123331986,12.96264186913608,14.702438945033327,10.540843246386501,9.449156538707024,11.332110795202857,-0.4932495448884022,-0.5950504657817501,-0.2877769282965158,-1.1135567459247597,-1.3225289412478325,-0.4819416554158239,0.9838928109422544,0.9807226049978116,0.9873497779382203,0.9553994310287421,0.9302197837794333,0.9689826117683515,0.9489656479284674,0.9356652790710216,0.9622716372088863,20
araneae_pitfall,observed_pool,0.08,0.9313241765568743,0.9313241765568743,0.9313241765568743,7.450593412454994,7.450593412454994,7.450593412454994,156,156,156,221,221,221,-0.9049773755656076,-1.8099547511312264,0,16.647331786542928,15.034802784222734,17.99303944315545,15.605318358911912,14.170185916012127,16.44836015941563,11.733212251171077,11.160234843308158,12.782004184585094,-0.47731307578620097,-0.7336316193885717,-0.31977652301407583,-1.026970189808657,-1.4898790534406892,-0.3566657468434431,0.9830830593785859,0.9788406759217357,0.9877403116673357,0.9502389475967017,0.9256799622840507,0.9600727722787836,0.9452064806600429,0.9337211409538522,0.9554249087615975,20
araneae_pitfall,observed_pool,0.09,0.9313241765568743,0.9313241765568743,0.9313241765568743,8.381917589011866,8.381917589011866,8.381917589011866,156,156,156,221,221,221,-0.9049773755656076,-1.8099547511312264,-0.4524886877828038,17.517401392111374,16.206496519721576,19.06032482598609,16.83814219303963,15.9253907954617,17.947447957165558,12.942078018329951,12.125031557229303,14.138454818698177,-0.5760037440002141,-0.7342160982724121,-0.3373796037996535,-1.090304078043619,-1.7210648951909868,-0.6283917008976935,0.9825532740305789,0.9758112658359428,0.9851044468609906,0.945009909317269,0.9210757030826101,0.9576685519125525,0.9404014660456085,0.9320353050828649,0.9511486982720837,20
araneae_pitfall,observed_pool,0.09999999999999999,0.9313241765568743,0.9313241765568743,0.9313241765568743,9.313241765568742,9.313241765568742,9.313241765568742,156,156,156,221,221,221,-1.3574660633484115,-2.30769230769231,-0.4524886877828038,18.793503480278417,17.1461716937355,19.907192575406043,18.965143894978333,16.801971666610996,20.424132992648573,14.85689979097825,12.409589317379831,16.534516368013055,-0.6064914903560092,-0.9039365812708777,-0.374296788434405,-1.1548471779168623,-1.5874247417268348,-0.9211458971911862,0.9815032015032772,0.9748326956680075,0.9845830836579738,0.9386557898262609,0.9098595345051784,0.9597152071470906,0.9339078887406493,0.9251721922539877,0.9554865755243275,20
araneae_pitfall,observed_pool,0.11,0.9313241765568743,0.9313241765568743,0.9313241765568743,10.244565942125616,10.244565942125616,10.244565942125616,156,156,156,221,221,221,-1.583710407239819,-2.7601809954751144,-0.4524886877828038,19.547563805104417,18.039443155452442,20.429234338747108,20.7487759581389,18.74536216764234,21.903029322561146,16.830096926391406,15.085860775868618,18.771175616033435,-0.6492727517675823,-0.9772935093857527,-0.43000938117755955,-1.215798481137148,-1.7511480503156707,-0.7515225342428352,0.9822100567035121,0.9765932946559917,0.9851175434163976,0.9390235905264401,0.9032713947273506,0.9533846405286329,0.93414675205583,0.9176311172807451,0.947296637146846,20
araneae_pitfall,observed_pool,0.12,0.9313241765568743,0.9313241765568743,0.9313241765568743,11.17589011868249,11.17589011868249,11.17589011868249,156,156,156,221,221,221,-1.3574660633484115,-1.8099547511312264,-0.4072398190045228,20.82366589327147,19.095127610208817,21.345707656612547,21.592304441636344,19.768352678693557,23.399436575884145,17.44580210862606,15.566976769554648,19.820554331337036,-0.7059894401248656,-0.9606657457029577,-0.45869375530367273,-1.3992567467864758,-1.7343484793114528,-0.7292384018455386,0.9779859090920818,0.9724581492462753,0.9835457084807548,0.9324794633744693,0.9023121696496971,0.9479347490465819,0.9314604393277708,0.919871398626403,0.9409299493582265,20
araneae_pitfall,observed_pool,0.13,0.9313241765568743,0.9313241765568743,0.9313241765568743,12.107214295239364,12.107214295239364,12.107214295239364,156,156,156,221,221,221,-1.8099547511312264,-2.30769230769231,-0.9049773755656076,20.939675174013928,20.069605568445482,23.109048723897928,23.38609375597549,21.6294866883103,24.916459914421132,19.43910654693376,17.8093467923544,20.98098346042989,-0.7421370071933553,-1.1088405881618857,-0.529644838498543,-1.471941417544953,-2.11590866178872,-0.9562874284047916,0.9798056899577303,0.9741528865169139,0.9841949144245155,0.9307688562037819,0.8921345845692026,0.9501422010571028,0.9290180802792282,0.913642645601667,0.9444309147163674,20
