assemblage_id,mechanism,error_rate,iter,eligible_individual_share,expected_reassigned_pct,n_eligible_source_species,n_source_species,gamma_change_pct,mean_q0_change_pct,mean_q1_change_pct,mean_q2_change_pct,q0_stability,bray_stability,sorensen_stability,bray_mean_change_pct,sorensen_mean_change_pct
formicidae_pitfall,observed_pool,0.01,1,0.975769669327252,0.9757696693272522,37,46,0,10.45454545454545,1.8863542973972747,0.939262240150418,0.9776126303167795,0.970894283089321,0.958042943029297,-0.02616707855676026,-0.30128456239414403
formicidae_pitfall,observed_pool,0.02,1,0.975769669327252,1.9515393386545044,37,46,0,17.272727272727263,5.802490951365558,3.846074724894044,0.9708711109826138,0.9535518220067136,0.9299128002982546,-0.12040234781505177,-0.7551175933543708
formicidae_pitfall,observed_pool,0.03,1,0.975769669327252,2.927309007981756,37,46,0,21.818181818181802,10.231486319521954,6.976052345401884,0.9750104799818999,0.9506610457904274,0.9333459135466201,-0.01978421295918409,-1.3861188472112596
formicidae_pitfall,observed_pool,0.04,1,0.975769669327252,3.9030786773090087,37,46,0,23.18181818181817,9.488278018135299,5.229723303295586,0.9693764660295607,0.9264269988193143,0.9064747861250788,-0.25699271568722093,-1.2670873175720465
formicidae_pitfall,observed_pool,0.05,1,0.975769669327252,4.87884834663626,37,46,0,23.636363636363633,12.203565407653194,7.764149792804931,0.9742429342590581,0.9444196943464498,0.9240799407290201,-0.14615976660458108,-1.0293254166482524
formicidae_pitfall,observed_pool,0.060000000000000005,1,0.975769669327252,5.854618015963513,37,46,0,25,14.002615614064728,9.661020635908635,0.9720151363144519,0.9239350418889208,0.8999985237584265,-0.14370634471440047,-1.7697395512490166
formicidae_pitfall,observed_pool,0.06999999999999999,1,0.975769669327252,6.830387685290764,37,46,0,22.272727272727266,14.234389620880506,9.09010849374332,0.9732168276834308,0.9301336864653383,0.9177092657276166,-0.33963066383697615,-1.449327700654035
formicidae_pitfall,observed_pool,0.08,1,0.975769669327252,7.806157354618017,37,46,0,29.09090909090908,19.38409256047562,14.555688026679237,0.9709995581469514,0.9035123089900521,0.894213114169358,-0.302644111714756,-2.741382682830429
formicidae_pitfall,observed_pool,0.09,1,0.975769669327252,8.781927023945268,37,46,0,33.18181818181818,23.217321546399127,17.462533092815423,0.9695045306219403,0.8935872324360169,0.8841955864496055,-0.30603466267012935,-2.980539303838292
formicidae_pitfall,observed_pool,0.09999999999999999,1,0.975769669327252,9.757696693272518,37,46,0,28.181818181818173,21.00237812136583,15.383396954003903,0.9695080562738021,0.9002322238927414,0.8903724033631168,-0.5019539354125802,-1.6861722821636227
