assemblage_id,mechanism,error_rate,iter,eligible_individual_share,expected_reassigned_pct,n_eligible_source_species,n_source_species,gamma_change_pct,mean_q0_change_pct,mean_q1_change_pct,mean_q2_change_pct,q0_stability,bray_stability,sorensen_stability,bray_mean_change_pct,sorensen_mean_change_pct
diplopoda_pitfall,observed_pool,0.01,1,0.6554621848739496,0.6554621848739496,10,17,0,0,0,0,1,0.9541591824949175,0.9539338848244853,0.36424210891203845,0.6693008628336328
diplopoda_pitfall,observed_pool,0.02,1,0.6554621848739496,1.3109243697478992,10,17,0,0,0,0,1,1,1,0,0
diplopoda_pitfall,observed_pool,0.03,1,0.6554621848739496,1.9663865546218486,10,17,-5.882352941176472,2.3809523809523725,0.5455989757732205,0.6212271347996845,0.9946670353163034,0.90040943330683,0.8961109333342271,-0.6028539929926358,-1.6692202241754717
diplopoda_pitfall,observed_pool,0.04,1,0.6554621848739496,2.6218487394957983,10,17,0,7.14285714285714,2.295949198620306,3.9292616276079606,0.9896820935416452,0.9514277614263013,0.9449768311234634,-0.07681652627007374,-0.4677042174018209
diplopoda_pitfall,observed_pool,0.05,1,0.6554621848739496,3.277310924369748,10,17,0,4.761904761904767,1.264515753299733,1.380146528120263,0.9943769530966996,0.9471748675052418,0.9396628763169163,-0.27774934555993,-0.9354084348036529
diplopoda_pitfall,observed_pool,0.060000000000000005,1,0.6554621848739496,3.932773109243698,10,17,0,4.761904761904767,1.8527009424573526,3.1449623699233653,0.9897216343795376,0.9570539903858276,0.9517798188272578,-0.11113270626282867,-0.6209176679300099
diplopoda_pitfall,observed_pool,0.06999999999999999,1,0.6554621848739496,4.588235294117646,10,17,0,7.14285714285714,3.1849388021248037,5.456982225380669,0.9851546033443742,0.9486995208755914,0.9496372527497662,-0.12840012848689408,0.09676638980726793
diplopoda_pitfall,observed_pool,0.08,1,0.6554621848739496,5.243697478991597,10,17,0,7.14285714285714,2.993151752470813,5.128436720111407,0.9851546033443742,0.9226143450050368,0.9231789214157279,0.8785085057322561,1.4595597129263727
diplopoda_pitfall,observed_pool,0.09,1,0.6554621848739496,5.899159663865547,10,17,0,11.904761904761907,4.124064451270959,6.239744284897775,0.9896291272761997,0.9318999910207473,0.9240076069804524,-0.4001888308967527,-0.7925628117548156
diplopoda_pitfall,observed_pool,0.09999999999999999,1,0.6554621848739496,6.554621848739495,10,17,0,16.66666666666665,6.913805813001184,11.670736201556696,0.9860253892101073,0.8913226599874304,0.8899781214432382,-0.7889341495435187,-0.8317301600101468
diplopoda_pitfall,observed_pool,0.11,1,0.6554621848739496,7.2100840336134455,10,17,-5.882352941176472,9.523809523809511,3.142352588740427,4.313393518377229,0.9853538500623681,0.9172767229050861,0.91086932829397,-0.6238760512002006,-1.0805580195145548
diplopoda_pitfall,observed_pool,0.12,1,0.6554621848739496,7.8655462184873945,10,17,-5.882352941176472,9.523809523809511,2.477722935552573,2.9349150945202407,0.9853538500623681,0.8561312299002496,0.8493200975345165,0.07948972548865729,0
diplopoda_pitfall,observed_pool,0.13,1,0.6554621848739496,8.521008403361344,10,17,0,16.66666666666665,6.936662153807238,11.636655018469998,0.9860253892101073,0.8533506031615277,0.8564525370043877,0.604588463060951,1.086317923669755
diplopoda_pitfall,observed_pool,0.14,1,0.6554621848739496,9.176470588235295,10,17,0,16.66666666666665,7.106074067439483,12.56393568391525,0.9827364442411961,0.8964589822117328,0.8863193282016845,-0.49874455621516933,-0.612853802112745
diplopoda_pitfall,observed_pool,0.15000000000000002,1,0.6554621848739496,9.831932773109244,10,17,0,19.047619047619047,8.42129877131339,14.87553344642496,0.9825432762368239,0.8140890344649258,0.811397193534444,0.21607791269744325,0.1428456230488262
diplopoda_pitfall,observed_pool,0.16,1,0.6554621848739496,10.487394957983193,10,17,0,14.28571428571428,4.875094247837963,7.453164316248517,0.9855508560341831,0.8981468749860733,0.8941403779384617,-0.22575599642418176,-0.2591956869837708
diplopoda_pitfall,observed_pool,0.17,1,0.6554621848739496,11.142857142857142,10,17,0,19.047619047619047,7.860430274398422,13.364544242147037,0.9825432762368239,0.8243451265776892,0.8237003850304152,-0.020098980276184175,0.23270012786986705
diplopoda_pitfall,observed_pool,0.18000000000000002,1,0.6554621848739496,11.798319327731093,10,17,-5.882352941176472,16.66666666666665,5.957429609829412,8.994984908368231,0.9776340729106593,0.909377855153177,0.9056482824693738,-0.6882185560189713,-0.5575587222228617
diplopoda_pitfall,observed_pool,0.19,1,0.6554621848739496,12.453781512605042,10,17,-5.882352941176472,11.904761904761907,4.698658656498056,7.820024462137987,0.9813845912513368,0.8407871837600117,0.8414985375548513,0.2594773693964436,0.024191597451816982
diplopoda_pitfall,observed_pool,0.2,1,0.6554621848739496,13.109243697478991,10,17,0,19.047619047619047,8.600488444804032,14.620211088169178,0.9784300611093705,0.8397968008921957,0.8384413021948756,0.3405360612875885,0.506871565657141
diplopoda_pitfall,rare_weighted_observed_pool,0.01,1,0.6554621848739496,0.6218478366344674,10,17,0,0,0,0,1,1,1,0,0
diplopoda_pitfall,rare_weighted_observed_pool,0.02,1,0.6554621848739496,1.2436956732689348,10,17,-5.882352941176472,0,0,0,1,0.9688037674108791,0.9686776043773647,-0.2226855422948093,-0.6773647286509199
diplopoda_pitfall,rare_weighted_observed_pool,0.03,1,0.6554621848739496,1.8655435099034026,10,17,0,4.761904761904767,1.6064142127553138,2.8032874457835533,0.9897216343795376,0.9454393407766424,0.9462083588150464,-0.37237132846521526,0.008063865817264926
diplopoda_pitfall,rare_weighted_observed_pool,0.04,1,0.6554621848739496,2.4873913465378696,10,17,-5.882352941176472,4.761904761904767,1.9244983127655768,3.4572440415864714,0.9990178564032053,0.9682136232728876,0.968607354595181,-0.2087584287323141,-0.19353277961454696
diplopoda_pitfall,rare_weighted_observed_pool,0.05,1,0.6554621848739496,3.1092391831723374,10,17,0,7.14285714285714,1.8319326681494275,2.2644940868518093,0.9896820935416452,0.9187261252541764,0.9153565743615114,-0.280848286899138,-0.49189581485364897
diplopoda_pitfall,rare_weighted_observed_pool,0.060000000000000005,1,0.6554621848739496,3.731087019806805,10,17,0,7.14285714285714,1.6611735847473108,1.8552683331823028,0.9942422191713834,0.947338419640151,0.939952790248029,-0.2834307380151557,-0.7833469651065017
diplopoda_pitfall,rare_weighted_observed_pool,0.06999999999999999,1,0.6554621848739496,4.352934856441271,10,17,0,7.14285714285714,2.3950418898922576,3.8175619238510095,0.9896820935416452,0.8892679269802007,0.882978661400054,0.6611250288239834,0.5805983388436298
diplopoda_pitfall,rare_weighted_observed_pool,0.08,1,0.6554621848739496,4.95066265512635,10,17,-11.764705882352944,11.904761904761907,3.6350953907175354,5.469463912219497,0.9896291272761997,0.8679206615227638,0.8668350078335475,-0.9115141518674652,-1.5344384669439104
