station,taxon_unit,abundance
1058,family:Armadillidiidae,2
1166,family:Armadillidiidae,3
1174,family:Trachelipodidae,38
1237,family:Armadillidiidae,50
1237,family:Philosciidae,99
1310,family:Armadillidiidae,34
1372,family:Armadillidiidae,4
1372,family:Philosciidae,27
1464,family:Armadillidiidae,17
1464,family:Philosciidae,20
1464,family:Porcellionidae,10
1464,family:Trichoniscidae,2
1477,family:Trachelipodidae,12
1549,family:Philosciidae,4
1549,family:Trachelipodidae,3
1549,family:Trichoniscidae,2
1556,family:Armadillidiidae,28
157,family:Philosciidae,1
1660,family:Trachelipodidae,11
1706,family:Philosciidae,13
1826,family:Armadillidiidae,2
1826,family:Philosciidae,2
1837,family:Trachelipodidae,1
1875,family:Armadillidiidae,92
1875,family:Philosciidae,1
1992,family:Philosciidae,2
2011,family:Armadillidiidae,3
2034,family:Philosciidae,1
2076,family:Armadillidiidae,15
215,family:Armadillidiidae,3
215,family:Philosciidae,15
215,family:Trichoniscidae,9
2205,family:Armadillidiidae,2
223,family:Philosciidae,2
2257,family:Porcellionidae,5
2276,family:Trichoniscidae,1
288,family:Porcellionidae,7
391,family:Porcellionidae,3
476,family:Armadillidiidae,74
476,family:Porcellionidae,1
476,family:Trachelipodidae,10
609,family:Philosciidae,2
620,family:Oniscidae,1
620,family:Philosciidae,60
620,family:Porcellionidae,3
633,family:Philosciidae,16
644,family:Oniscidae,1
644,family:Philosciidae,6
730,family:Philosciidae,4
792,family:Philosciidae,21
805,family:Philosciidae,49
805,family:Porcellionidae,3
812,family:Philosciidae,7
827,family:Philosciidae,5
870,family:Philosciidae,12
870,family:Trachelipodidae,2
926,family:Ligiidae,6
926,family:Oniscidae,1
926,family:Philosciidae,37
