station,taxon_unit,abundance
1837,genus:Sphaeridia,2
1875,genus:Folsomides,4
1875,genus:Hypogastrura,27
1875,genus:Isotomiella,4
1875,genus:Lepidocyrtus,3
1875,genus:Parisotoma,3
1875,genus:Pseudosinella,1
1887,genus:Entomobrya,3
1887,genus:Folsomia,1
1887,genus:Isotoma,5
1887,genus:Lepidocyrtus,1
1887,genus:Parisotoma,2
1887,genus:Sminthurinus,1
1893,genus:Entomobrya,1
1893,genus:Folsomia,1
1893,genus:Lepidocyrtus,2
1893,genus:Pseudosinella,5
1992,genus:Hemisotoma,1
1992,genus:Hypogastrura,3
1992,genus:Protaphorura,2
1996,genus:Brachystomella,21
1996,genus:Deuterosminthurus,1
1996,genus:Entomobrya,12
1996,genus:Hypogastrura,16
1996,genus:Isotomiella,2
1996,genus:Lepidocyrtus,14
1996,genus:Parisotoma,18
1996,genus:Protaphorura,6
1996,genus:Sminthurinus,6
1996,genus:Sphaeridia,4
2011,genus:Heteromurus,16
2011,genus:Isotomurus,13
2011,genus:Lepidocyrtus,3
2011,genus:Parisotoma,2
2011,genus:Sminthurides,2
2011,genus:Sminthurinus,6
2021,genus:Cyphoderus,1
2021,genus:Desoria,1
2021,genus:Entomobrya,9
2021,genus:Isotomiella,3
2021,genus:Protaphorura,1
2021,genus:Pseudosinella,3
2021,genus:Sminthurides,5
2021,genus:Sphaeridia,2
2034,genus:Entomobrya,19
2034,genus:Isotomiella,1
2034,genus:Lepidocyrtus,1
2034,genus:Protaphorura,1
2034,genus:Pseudosinella,1
2034,genus:Xenylla,305
2076,genus:Mesaphorura,10
2076,genus:Parisotoma,1
2076,genus:Proisotoma,1
2142,genus:Entomobrya,2
2142,genus:Folsomides,1
2142,genus:Isotomurus,6
2142,genus:Sminthurides,9
215,genus:Folsomia,6
215,genus:Folsomides,1
215,genus:Lathriopyga,1
215,genus:Parisotoma,9
215,genus:Pseudosinella,1
215,genus:Sminthurinus,1
2182,genus:Folsomides,1
2182,genus:Friesea,1
2182,genus:Sminthurinus,3
2205,genus:Entomobrya,1
2205,genus:Folsomia,11
2205,genus:Heteromurus,4
2205,genus:Isotomiella,19
2205,genus:Lathriopyga,1
2205,genus:Mesaphorura,2
2205,genus:Parisotoma,10
2205,genus:Protaphorura,1
2205,genus:Pseudachorutes,1
2205,genus:Sminthurinus,12
2205,genus:Sminthurus,2
2205,genus:Sphaeridia,1
2205,genus:Tomocerina,2
2205,genus:Willemia,1
223,genus:Isotomurus,10
223,genus:Sminthurinus,19
2257,genus:Ceratophysella,2
2257,genus:Entomobrya,17
2257,genus:Folsomia,6
2257,genus:Heteromurus,97
2257,genus:Isotoma,4
2257,genus:Isotomiella,8
2257,genus:Lepidocyrtus,5
2257,genus:Parisotoma,18
2257,genus:Protaphorura,1
2257,genus:Pseudosinella,15
2257,genus:Sminthurinus,5
2260,genus:Anurida,2
2260,genus:Entomobrya,12
2260,genus:Sphaeridia,1
2276,genus:Detriturus,1
2276,genus:Entomobrya,1
2276,genus:Folsomia,11
2276,genus:Isotoma,5
2276,genus:Isotomiella,2
2276,genus:Parisotoma,2
2276,genus:Proisotomodes,20
2276,genus:Protaphorura,3
2276,genus:Pseudosinella,2
2276,genus:Tetracanthella,3
2312,genus:Bourletiella,2
2312,genus:Ceratophysella,1
2312,genus:Entomobrya,12
2312,genus:Folsomia,10
2312,genus:Friesea,1
2312,genus:Isotoma,4
2312,genus:Sminthurus,2
288,genus:Heteromurus,1
288,genus:Hypogastrura,1
288,genus:Isotoma,6
288,genus:Isotomurus,1
288,genus:Mesaphorura,1
288,genus:Parisotoma,6
288,genus:Pseudosinella,1
291,genus:Heteromurus,1
291,genus:Isotoma,13
291,genus:Isotomurus,3
291,genus:Lepidocyrtus,4
291,genus:Sminthurides,1
391,genus:Brachystomella,5
391,genus:Ceratophysella,2
391,genus:Folsomia,6
391,genus:Isotomiella,1
391,genus:Isotomurus,1
391,genus:Parisotoma,24
391,genus:Sminthurinus,4
391,genus:Sphaeridia,6
400,genus:Hypogastrura,1
400,genus:Lepidocyrtus,2
400,genus:Parisotoma,6
400,genus:Protaphorura,3
408,genus:Friesea,2
408,genus:Mesaphorura,3
408,genus:Paratullbergia,1
408,genus:Parisotoma,1
408,genus:Protaphorura,1
408,genus:Pseudosinella,1
408,genus:Sminthurinus,1
476,genus:Heteromurus,3
476,genus:Hypogastrura,1
476,genus:Isotomurus,1
476,genus:Lepidocyrtus,3
476,genus:Mesaphorura,1
476,genus:Parisotoma,11
476,genus:Protaphorura,1
476,genus:Pseudosinella,41
609,genus:Bourletiella,2
609,genus:Ceratophysella,5
609,genus:Desoria,3
609,genus:Heteromurus,1
609,genus:Isotoma,1
609,genus:Isotomiella,1
609,genus:Isotomurus,2
609,genus:Lepidocyrtus,4
609,genus:Neanura,1
609,genus:Parisotoma,8
609,genus:Protaphorura,35
609,genus:Pseudosinella,2
609,genus:Sphaeridia,11
620,genus:Folsomia,8
620,genus:Isotoma,2
620,genus:Lathriopyga,1
620,genus:Lepidocyrtus,5
620,genus:Megalothorax,1
620,genus:Mesaphorura,3
620,genus:Paratullbergia,1
620,genus:Parisotoma,5
620,genus:Sminthurinus,3
620,genus:Sphaeridia,1
633,genus:Heteromurus,1
633,genus:Isotomiella,4
633,genus:Isotomurus,1
633,genus:Lepidocyrtus,3
633,genus:Parisotoma,9
633,genus:Pseudosinella,4
633,genus:Sminthurides,1
633,genus:Sphaeridia,1
633,genus:Stenaphorura,2
644,genus:Folsomia,7
644,genus:Friesea,2
644,genus:Isotomiella,2
644,genus:Parisotoma,19
644,genus:Protaphorura,1
644,genus:Sminthurinus,1
644,genus:Stenaphorura,2
730,genus:Friesea,1
730,genus:Isotomiella,6
730,genus:Sminthurinus,1
788,genus:Isotomurus,1
788,genus:Sminthurinus,3
788,genus:Sminthurus,6
788,genus:Sphaeridia,1
792,genus:Folsomia,3
792,genus:Isotomiella,1
792,genus:Lepidocyrtus,15
792,genus:Mesaphorura,3
792,genus:Parisotoma,33
792,genus:Sminthurides,30
792,genus:Sminthurinus,31
792,genus:Sphaeridia,3
792,genus:Xenylla,1
805,genus:Folsomia,2
805,genus:Lepidocyrtus,1
805,genus:Mesaphorura,1
805,genus:Parisotoma,38
805,genus:Sminthurinus,1
812,genus:Ceratophysella,2
812,genus:Entomobrya,1
812,genus:Heteromurus,3
812,genus:Isotomiella,2
812,genus:Parisotoma,14
812,genus:Sminthurinus,2
812,genus:Sphaeridia,1
812,genus:Stenaphorura,2
827,genus:Ceratophysella,1
827,genus:Entomobrya,1
827,genus:Isotomiella,1
827,genus:Isotomurus,1
827,genus:Lepidocyrtus,6
827,genus:Paratullbergia,3
827,genus:Parisotoma,8
827,genus:Protaphorura,3
827,genus:Pseudosinella,15
827,genus:Sphaeridia,2
870,genus:Hemisotoma,1
870,genus:Isotomiella,9
870,genus:Lepidocyrtus,1
870,genus:Mesaphorura,3
870,genus:Parisotoma,1
926,genus:Heteromurus,4
926,genus:Lepidocyrtus,1
926,genus:Mesaphorura,3
926,genus:Parisotoma,1
