taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:216155,species:cdnom:216155,genus:Proisotoma,family:Isotomidae,species,cdnom:216155,Proisotoma minuta,Proisotoma,Isotomidae,Collembola,Entognatha,"Proisotoma minuta (Tullberg, 1871)",Proisotoma minuta
species:cdnom:215856,species:cdnom:215856,genus:Triacanthella,family:Hypogastruridae,species,cdnom:215856,Triacanthella perfecta,Triacanthella,Hypogastruridae,Collembola,Entognatha,"Triacanthella perfecta Denis, 1926",Triacanthella perfecta
species:cdnom:215867,species:cdnom:215867,genus:Xenylla,family:Hypogastruridae,species,cdnom:215867,Xenylla tullbergi,Xenylla,Hypogastruridae,Collembola,Entognatha,"Xenylla tullbergi Börner, 1903",Xenylla tullbergi
species:cdnom:255221,species:cdnom:255221,genus:Folsomides,family:Isotomidae,species,cdnom:255221,Folsomides parvulus,Folsomides,Isotomidae,Collembola,Entognatha,"Folsomides parvulus Stach, 1922",Folsomides parvulus
species:cdnom:254524,species:cdnom:254524,genus:Willemia,family:Hypogastruridae,species,cdnom:254524,Willemia intermedia,Willemia,Hypogastruridae,Collembola,Entognatha,"Willemia intermedia Mills, 1934",Willemia intermedia
genus:Pseudachorutes,NA,genus:Pseudachorutes,family:Neanuridae,genus,NA,NA,Pseudachorutes,Neanuridae,Collembola,Entognatha,"Pseudachorutes Tullberg, 1871",Pseudachorutes
genus:Friesea,NA,genus:Friesea,family:Neanuridae,genus,NA,NA,Friesea,Neanuridae,Collembola,Entognatha,"Friesea Dalla Torre, 1895",Friesea
species:cdnom:28902,species:cdnom:28902,genus:Lepidocyrtus,family:Entomobryidae,species,cdnom:28902,Lepidocyrtus lignorum,Lepidocyrtus,Entomobryidae,Collembola,Entognatha,"Lepidocyrtus lignorum (Fabricius, 1793)",Lepidocyrtus lignorum
species:cdnom:884828,species:cdnom:884828,genus:Sminthurides,family:Sminthurididae,species,cdnom:884828,Sminthurides pseudassimilis,Sminthurides,Sminthurididae,Collembola,Entognatha,"Sminthurides pseudassimilis Stach, 1956",Sminthurides pseudassimilis
species:cdnom:215945,species:cdnom:215945,genus:Friesea,family:Neanuridae,species,cdnom:215945,Friesea truncata,Friesea,Neanuridae,Collembola,Entognatha,"Friesea truncata Cassagnau, 1958",Friesea truncata
species:cdnom:884524,species:cdnom:884524,genus:Stenaphorura,family:Tullbergiidae,species,cdnom:884524,Stenaphorura denisi,Stenaphorura,Tullbergiidae,Collembola,Entognatha,"Stenaphorura denisi Bagnall, 1935",Stenaphorura denisi
genus:Xenylla,NA,genus:Xenylla,family:Hypogastruridae,genus,NA,NA,Xenylla,Hypogastruridae,Collembola,Entognatha,"Xenylla Tullberg, 1869",Xenylla
species:cdnom:837805,species:cdnom:837805,genus:Bourletiella,family:Bourletiellidae,species,cdnom:837805,Bourletiella hortensis,Bourletiella,Bourletiellidae,Collembola,Entognatha,"Bourletiella hortensis (Fitch, 1863)",Bourletiella hortensis
species:cdnom:215868,species:cdnom:215868,genus:Xenylla,family:Hypogastruridae,species,cdnom:215868,Xenylla xavieri,Xenylla,Hypogastruridae,Collembola,Entognatha,"Xenylla xavieri Gama, 1959",Xenylla xavieri
genus:Deuterosminthurus,NA,genus:Deuterosminthurus,family:Bourletiellidae,genus,NA,NA,Deuterosminthurus,Bourletiellidae,Collembola,Entognatha,"Deuterosminthurus Börner, 1901",Deuterosminthurus
species:cdnom:216006,species:cdnom:216006,genus:Metaphorura,family:Tullbergiidae,species,cdnom:216006,Metaphorura affinis,Metaphorura,Tullbergiidae,Collembola,Entognatha,"Metaphorura affinis (Börner, 1902)",Metaphorura affinis
genus:Folsomia,NA,genus:Folsomia,family:Isotomidae,genus,NA,NA,Folsomia,Isotomidae,Collembola,Entognatha,"Folsomia Willem, 1902",Folsomia
species:cdnom:216130,species:cdnom:216130,genus:Isotomodes,family:Isotomidae,species,cdnom:216130,Isotomodes productus,Isotomodes,Isotomidae,Collembola,Entognatha,"Isotomodes productus (Axelson, 1906)",Isotomodes productus
species:cdnom:216246,species:cdnom:216246,genus:Pseudosinella,family:Entomobryidae,species,cdnom:216246,Pseudosinella octopunctata,Pseudosinella,Entomobryidae,Collembola,Entognatha,"Pseudosinella octopunctata Börner, 1901",Pseudosinella octopunctata
genus:Anurida,NA,genus:Anurida,family:Neanuridae,genus,NA,NA,Anurida,Neanuridae,Collembola,Entognatha,"Anurida Laboulbène, 1865",Anurida
species:cdnom:884837,species:cdnom:884837,genus:Neelus,family:Neelidae,species,cdnom:884837,Neelus murinus,Neelus,Neelidae,Collembola,Entognatha,"Neelus murinus Folsom, 1896",Neelus murinus
genus:Deuteraphorura,NA,genus:Deuteraphorura,family:Onychiuridae,genus,NA,NA,Deuteraphorura,Onychiuridae,Collembola,Entognatha,"Deuteraphorura Absolon, 1901",Deuteraphorura
species:cdnom:216236,species:cdnom:216236,genus:Pseudosinella,family:Entomobryidae,species,cdnom:216236,Pseudosinella immaculata,Pseudosinella,Entomobryidae,Collembola,Entognatha,"Pseudosinella immaculata (Lie-Pettersen, 1896)",Pseudosinella immaculata
