station,taxon_unit,abundance
1030,genus:Isotomurus,196
1030,species:cdnom:215945,2
1030,species:cdnom:216150,4
1030,species:cdnom:216155,1
1030,species:cdnom:216206,1
1030,species:cdnom:28893,1
1030,species:cdnom:28898,1
1058,genus:Isotomurus,7
1058,species:cdnom:215945,1
1058,species:cdnom:216125,1
1058,species:cdnom:216206,2
1058,species:cdnom:216290,1
1058,species:cdnom:28898,4
1064,genus:Detriturus,4
1064,genus:Paratullbergia,5
1064,species:cdnom:215800,7
1064,species:cdnom:216006,2
1064,species:cdnom:216107,15
1064,species:cdnom:216125,3
1090,family:Onychiuridae,8
1090,genus:Isotomurus,3
1090,species:cdnom:215819,2
1090,species:cdnom:216150,1
1090,species:cdnom:216271,2
1090,species:cdnom:254543,19
1090,species:cdnom:28898,3
1141,genus:Entomobrya,1
1141,genus:Isotomurus,2
1141,genus:Mesaphorura,6
1141,genus:Paratullbergia,4
1141,species:cdnom:215945,1
1141,species:cdnom:216125,15
1141,species:cdnom:216150,1
1141,species:cdnom:216426,3
1166,genus:Friesea,7
1166,genus:Isotomurus,7
1166,species:cdnom:215800,1
1166,species:cdnom:216409,4
1166,species:cdnom:255221,2
1174,species:cdnom:215824,10
1174,species:cdnom:216155,2
1174,species:cdnom:216269,1
1174,species:cdnom:216271,1
1174,species:cdnom:216395,1
1180,genus:Folsomia,1
1180,genus:Isotomurus,6
1180,genus:Mesaphorura,3
1180,genus:Paratullbergia,1
1180,species:cdnom:216125,6
1180,species:cdnom:216130,1
1180,species:cdnom:216150,3
1180,species:cdnom:216271,1
1237,genus:Isotomurus,15
1237,genus:Xenylla,28
1237,species:cdnom:215819,2
1237,species:cdnom:215873,1
1237,species:cdnom:216426,7
1243,genus:Isotomurus,7
1243,species:cdnom:216125,4
1243,species:cdnom:216150,6
1243,species:cdnom:216346,7
1243,species:cdnom:216395,3
1274,genus:Isotomurus,3
1274,genus:Mesaphorura,4
1274,genus:Paratullbergia,4
1274,species:cdnom:216125,6
1274,species:cdnom:216150,1
1274,species:cdnom:216206,1
1274,species:cdnom:216269,2
1274,species:cdnom:216271,2
1274,species:cdnom:216346,1
1274,species:cdnom:28898,3
1274,species:cdnom:655839,9
1310,genus:Isotomurus,8
1310,species:cdnom:216150,1
1310,species:cdnom:216426,2
1310,species:cdnom:655839,42
1366,genus:Isotomurus,8
1366,species:cdnom:216206,2
1366,species:cdnom:216421,2
1366,species:cdnom:255221,1
137,genus:Entomobrya,1
137,genus:Isotomurus,17
137,species:cdnom:28898,1
1372,genus:Deuteraphorura,1
1372,genus:Mesaphorura,1
1372,genus:Paratullbergia,1
1372,species:cdnom:215889,1
1372,species:cdnom:216125,12
1372,species:cdnom:216150,19
1372,species:cdnom:216271,17
1372,species:cdnom:216341,1
1464,family:Isotomidae,5
1464,genus:Mesaphorura,2
1464,genus:Protaphorura,1
1464,species:cdnom:215802,1
1464,species:cdnom:216125,5
1464,species:cdnom:216150,9
1477,genus:Mesaphorura,1
1477,species:cdnom:215877,1
1477,species:cdnom:216107,18
1477,species:cdnom:216150,1
1477,species:cdnom:216155,1
1477,species:cdnom:216421,7
1477,species:cdnom:28893,26
1477,species:cdnom:28898,1
1491,genus:Isotomurus,6
1491,species:cdnom:216271,1
1491,species:cdnom:216289,1
1491,species:cdnom:216396,2
152,genus:Deuterosminthurus,1
152,genus:Isotomurus,8
152,species:cdnom:216395,5
152,species:cdnom:216409,1
152,species:cdnom:28893,9
1537,genus:Friesea,1
1537,genus:Isotomurus,1
1537,species:cdnom:216125,1
1537,species:cdnom:216150,2
1537,species:cdnom:216206,1
1537,species:cdnom:216289,5
1537,species:cdnom:216395,2
1537,species:cdnom:216409,1
1537,species:cdnom:28898,1
1549,genus:Isotomurus,1
1549,species:cdnom:215873,2
1549,species:cdnom:216107,5
1549,species:cdnom:216150,21
1549,species:cdnom:216206,2
1549,species:cdnom:216271,10
1549,species:cdnom:216361,3
1549,species:cdnom:216387,1
1549,species:cdnom:216395,2
1549,species:cdnom:216396,2
1549,species:cdnom:216409,2
1549,species:cdnom:28898,2
1549,species:cdnom:655839,38
1549,species:cdnom:837807,1
1556,genus:Isotomurus,2
1556,species:cdnom:216125,3
1556,species:cdnom:216150,2
1556,species:cdnom:216302,1
1556,species:cdnom:216341,1
1556,species:cdnom:216395,3
1556,species:cdnom:216396,3
1556,species:cdnom:255221,1
157,genus:Mesaphorura,1
157,species:cdnom:216125,3
1587,genus:Mesaphorura,4
1587,genus:Protaphorura,3
1587,species:cdnom:216006,2
1587,species:cdnom:216150,2
1587,species:cdnom:216361,1
1587,species:cdnom:216395,1
1587,species:cdnom:216426,5
1587,species:cdnom:655839,3
1660,species:cdnom:216125,1
1660,species:cdnom:216150,1
1660,species:cdnom:216206,2
1660,species:cdnom:216289,1
1660,species:cdnom:216395,2
1660,species:cdnom:255221,10
1660,species:cdnom:655839,1
1660,species:cdnom:884837,1
1677,genus:Folsomia,5
1677,species:cdnom:215945,4
1677,species:cdnom:216107,5
1677,species:cdnom:216150,22
1677,species:cdnom:216206,3
1677,species:cdnom:216289,1
1677,species:cdnom:216395,5
1677,species:cdnom:216426,2
1677,species:cdnom:28898,45
1686,family:Onychiuridae,1
1686,species:cdnom:215873,1
1694,species:cdnom:216361,4
1694,species:cdnom:28898,1
1694,species:cdnom:837805,5
1706,genus:Entomobrya,2
1706,genus:Paratullbergia,1
1706,species:cdnom:215802,10
1706,species:cdnom:215856,3
1706,species:cdnom:215867,1
1706,species:cdnom:215889,8
1706,species:cdnom:216125,1
1706,species:cdnom:216150,8
1706,species:cdnom:216206,1
1706,species:cdnom:216271,4
1706,species:cdnom:216329,1
1706,species:cdnom:216341,2
1706,species:cdnom:216346,1
1706,species:cdnom:216396,2
1768,genus:Arrhopalites,1
1768,genus:Brachystomella,10
1768,genus:Entomobrya,2
1768,genus:Mesaphorura,2
1768,genus:Protaphorura,5
1768,species:cdnom:215802,6
1768,species:cdnom:216107,35
1768,species:cdnom:216125,39
1768,species:cdnom:216271,6
1768,species:cdnom:216289,2
1768,species:cdnom:216329,1
1768,species:cdnom:216346,1
1768,species:cdnom:28898,1
1768,species:cdnom:655839,4
1826,genus:Isotomurus,6
1826,species:cdnom:216289,3
1826,species:cdnom:216290,1
1826,species:cdnom:216341,1
1837,genus:Entomobrya,1
1837,genus:Mesaphorura,1
1837,genus:Protaphorura,69
1837,species:cdnom:215873,2
1837,species:cdnom:216125,1
1837,species:cdnom:216150,49
1837,species:cdnom:216206,2
1837,species:cdnom:216395,1
1837,species:cdnom:216396,2
1837,species:cdnom:216426,2
1837,species:cdnom:28898,3
1837,species:cdnom:655839,80
1837,species:cdnom:837807,42
1875,species:cdnom:215824,27
1875,species:cdnom:216125,4
1875,species:cdnom:216150,3
1875,species:cdnom:216206,1
1875,species:cdnom:216271,3
1875,species:cdnom:255221,4
1887,family:Isotomidae,1
1887,genus:Entomobrya,3
1887,species:cdnom:216107,1
1887,species:cdnom:216150,2
1887,species:cdnom:216271,1
1887,species:cdnom:216395,1
1887,species:cdnom:28898,5
1893,genus:Entomobrya,1
1893,species:cdnom:216107,1
1893,species:cdnom:216206,5
1893,species:cdnom:216271,2
1992,genus:Protaphorura,2
1992,species:cdnom:215824,3
1992,species:cdnom:655839,1
1996,genus:Brachystomella,21
1996,genus:Deuterosminthurus,1
1996,genus:Protaphorura,6
1996,species:cdnom:215824,16
1996,species:cdnom:216125,2
1996,species:cdnom:216150,18
1996,species:cdnom:216271,14
1996,species:cdnom:216302,12
1996,species:cdnom:216395,6
1996,species:cdnom:216426,4
2011,genus:Isotomurus,13
2011,species:cdnom:216150,2
2011,species:cdnom:216271,3
2011,species:cdnom:216289,16
2011,species:cdnom:216395,6
2011,species:cdnom:216421,1
2011,species:cdnom:884828,1
2021,genus:Desoria,1
2021,genus:Entomobrya,9
2021,genus:Protaphorura,1
2021,species:cdnom:216125,3
2021,species:cdnom:216206,3
2021,species:cdnom:216313,1
2021,species:cdnom:216421,5
2021,species:cdnom:216426,2
2034,genus:Entomobrya,13
2034,genus:Protaphorura,1
2034,species:cdnom:215868,305
2034,species:cdnom:216125,1
2034,species:cdnom:216206,1
2034,species:cdnom:216271,1
2034,species:cdnom:216302,6
2076,genus:Mesaphorura,10
2076,species:cdnom:216150,1
2076,species:cdnom:216154,1
2142,genus:Isotomurus,6
2142,species:cdnom:216302,2
2142,species:cdnom:216421,9
2142,species:cdnom:255221,1
215,species:cdnom:215889,1
215,species:cdnom:216107,6
215,species:cdnom:216150,9
215,species:cdnom:216246,1
215,species:cdnom:216396,1
215,species:cdnom:255221,1
2182,species:cdnom:215945,1
2182,species:cdnom:216395,3
2182,species:cdnom:255221,1
2205,genus:Mesaphorura,2
2205,genus:Protaphorura,1
2205,genus:Pseudachorutes,1
2205,species:cdnom:215889,1
2205,species:cdnom:216107,11
2205,species:cdnom:216125,19
2205,species:cdnom:216150,10
2205,species:cdnom:216289,4
2205,species:cdnom:216302,1
2205,species:cdnom:216329,2
2205,species:cdnom:216395,12
2205,species:cdnom:216409,2
2205,species:cdnom:216426,1
2205,species:cdnom:254524,1
223,genus:Isotomurus,10
223,species:cdnom:216395,19
2257,genus:Protaphorura,1
2257,species:cdnom:216107,6
2257,species:cdnom:216125,8
2257,species:cdnom:216150,18
2257,species:cdnom:216206,15
2257,species:cdnom:216289,96
2257,species:cdnom:216290,1
2257,species:cdnom:216302,17
2257,species:cdnom:216396,5
2257,species:cdnom:28898,4
2257,species:cdnom:28902,5
2257,species:cdnom:837807,2
2260,genus:Anurida,2
2260,species:cdnom:216302,12
2260,species:cdnom:216426,1
2276,genus:Detriturus,1
2276,genus:Protaphorura,3
2276,species:cdnom:216107,11
2276,species:cdnom:216125,2
2276,species:cdnom:216150,2
2276,species:cdnom:216181,3
2276,species:cdnom:216206,2
2276,species:cdnom:216302,1
2276,species:cdnom:28898,5
2276,species:cdnom:884697,20
2312,genus:Entomobrya,5
2312,genus:Folsomia,3
2312,species:cdnom:215800,1
2312,species:cdnom:215945,1
2312,species:cdnom:216107,7
2312,species:cdnom:216302,7
2312,species:cdnom:216361,2
2312,species:cdnom:216409,2
2312,species:cdnom:28898,4
288,genus:Isotomurus,1
288,genus:Mesaphorura,1
288,species:cdnom:215824,1
288,species:cdnom:216150,6
288,species:cdnom:216206,1
288,species:cdnom:216290,1
288,species:cdnom:28898,6
291,genus:Isotomurus,3
291,species:cdnom:216269,2
291,species:cdnom:216271,2
291,species:cdnom:216289,1
291,species:cdnom:216421,1
291,species:cdnom:28898,13
391,genus:Isotomurus,1
391,species:cdnom:215873,5
391,species:cdnom:216107,4
391,species:cdnom:216125,1
391,species:cdnom:216150,24
391,species:cdnom:216395,4
391,species:cdnom:216426,6
391,species:cdnom:28893,2
391,species:cdnom:837807,2
400,genus:Protaphorura,3
400,species:cdnom:215824,1
400,species:cdnom:216150,6
400,species:cdnom:216269,1
400,species:cdnom:216271,1
408,genus:Mesaphorura,3
408,genus:Paratullbergia,1
408,genus:Protaphorura,1
408,species:cdnom:215945,2
408,species:cdnom:216150,1
408,species:cdnom:216236,1
408,species:cdnom:216395,1
476,genus:Isotomurus,1
476,genus:Mesaphorura,1
476,genus:Protaphorura,1
476,species:cdnom:215824,1
476,species:cdnom:216150,11
476,species:cdnom:216206,41
476,species:cdnom:216271,3
476,species:cdnom:216289,3
609,genus:Desoria,3
609,genus:Isotomurus,2
609,genus:Protaphorura,35
609,species:cdnom:215800,5
609,species:cdnom:215877,1
609,species:cdnom:216125,1
609,species:cdnom:216150,8
609,species:cdnom:216206,2
609,species:cdnom:216269,4
609,species:cdnom:216289,1
609,species:cdnom:216361,2
609,species:cdnom:216426,11
609,species:cdnom:28898,1
620,genus:Mesaphorura,3
620,genus:Paratullbergia,1
620,species:cdnom:215889,1
620,species:cdnom:216107,8
620,species:cdnom:216150,5
620,species:cdnom:216269,5
620,species:cdnom:216341,1
620,species:cdnom:216395,1
620,species:cdnom:216396,2
620,species:cdnom:216426,1
620,species:cdnom:28898,2
633,genus:Isotomurus,1
633,species:cdnom:216125,4
633,species:cdnom:216150,9
633,species:cdnom:216206,4
633,species:cdnom:216271,3
633,species:cdnom:216289,1
633,species:cdnom:216421,1
633,species:cdnom:216426,1
633,species:cdnom:884524,2
644,genus:Protaphorura,1
644,species:cdnom:215945,2
644,species:cdnom:216107,7
644,species:cdnom:216125,2
644,species:cdnom:216150,19
644,species:cdnom:216395,1
644,species:cdnom:884524,2
730,species:cdnom:215945,1
730,species:cdnom:216125,6
730,species:cdnom:216395,1
788,genus:Isotomurus,1
788,species:cdnom:216395,3
788,species:cdnom:216409,6
788,species:cdnom:216426,1
792,genus:Mesaphorura,3
792,genus:Xenylla,1
792,species:cdnom:216107,3
792,species:cdnom:216125,1
792,species:cdnom:216150,33
792,species:cdnom:216271,15
792,species:cdnom:216395,31
792,species:cdnom:216421,30
792,species:cdnom:216426,3
805,genus:Mesaphorura,1
805,species:cdnom:216107,2
805,species:cdnom:216150,38
805,species:cdnom:216271,1
805,species:cdnom:216396,1
812,species:cdnom:215800,2
812,species:cdnom:216125,2
812,species:cdnom:216150,14
812,species:cdnom:216290,3
812,species:cdnom:216302,1
812,species:cdnom:216395,1
812,species:cdnom:216396,1
812,species:cdnom:216426,1
812,species:cdnom:884524,2
827,genus:Entomobrya,1
827,genus:Isotomurus,1
827,genus:Paratullbergia,3
827,genus:Protaphorura,3
827,species:cdnom:215802,1
827,species:cdnom:216125,1
827,species:cdnom:216150,8
827,species:cdnom:216206,15
827,species:cdnom:216269,4
827,species:cdnom:216271,2
827,species:cdnom:216426,2
870,genus:Mesaphorura,3
870,species:cdnom:216125,9
870,species:cdnom:216150,1
870,species:cdnom:216271,1
870,species:cdnom:655839,1
926,genus:Mesaphorura,3
926,species:cdnom:216150,1
926,species:cdnom:216271,1
926,species:cdnom:216290,4
