taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:237094,species:cdnom:237094,genus:Porcellio,family:Porcellionidae,species,cdnom:237094,Porcellio monticola,Porcellio,Porcellionidae,Isopoda,Malacostraca,"Porcellio monticola Lereboullet, 1853",Porcellio monticola
genus:Trichoniscus,NA,genus:Trichoniscus,family:Trichoniscidae,genus,NA,NA,Trichoniscus,Trichoniscidae,Isopoda,Malacostraca,"Trichoniscus Brandt, 1833",Trichoniscus
species:cdnom:237088,species:cdnom:237088,genus:Porcellio,family:Porcellionidae,species,cdnom:237088,Porcellio gallicus,Porcellio,Porcellionidae,Isopoda,Malacostraca,"Porcellio gallicus Dollfus, 1904",Porcellio gallicus
species:cdnom:237025,species:cdnom:237025,genus:Armadillidium,family:Armadillidiidae,species,cdnom:237025,Armadillidium pulchellum,Armadillidium,Armadillidiidae,Isopoda,Malacostraca,"Armadillidium pulchellum (Zenker, 1799)",Armadillidium pulchellum
species:cdnom:237023,species:cdnom:237023,genus:Armadillidium,family:Armadillidiidae,species,cdnom:237023,Armadillidium pictum,Armadillidium,Armadillidiidae,Isopoda,Malacostraca,"Armadillidium pictum Brandt, 1833",Armadillidium pictum
species:cdnom:237061,species:cdnom:237061,genus:Philoscia,family:Philosciidae,species,cdnom:237061,Philoscia muscorum,Philoscia,Philosciidae,Isopoda,Malacostraca,"Philoscia muscorum (Scopoli, 1763)",Philoscia muscorum
genus:Trichoniscoides,NA,genus:Trichoniscoides,family:Trichoniscidae,genus,NA,NA,Trichoniscoides,Trichoniscidae,Isopoda,Malacostraca,"Trichoniscoides G. O. Sars, 1899",Trichoniscoides
species:cdnom:237051,species:cdnom:237051,genus:Oniscus,family:Oniscidae,species,cdnom:237051,Oniscus asellus,Oniscus,Oniscidae,Isopoda,Malacostraca,"Oniscus asellus Linnaeus, 1758",Oniscus asellus
species:cdnom:237139,species:cdnom:237139,genus:Hyloniscus,family:Trichoniscidae,species,cdnom:237139,Hyloniscus riparius,Hyloniscus,Trichoniscidae,Isopoda,Malacostraca,"Hyloniscus riparius (Koch, 1838)",Hyloniscus riparius
species:cdnom:311068,species:cdnom:311068,genus:Orthometopon,family:Agridae,species,cdnom:311068,Orthometopon planum,Orthometopon,Agridae,Isopoda,Malacostraca,"Orthometopon planum (Budde-Lund, 1885)",Orthometopon planum
species:cdnom:699887,species:cdnom:699887,genus:Armadillidium,family:Armadillidiidae,species,cdnom:699887,Armadillidium nasatum,Armadillidium,Armadillidiidae,Isopoda,Malacostraca,"Armadillidium nasatum Budde-Lund, 1885",Armadillidium nasatum
species:cdnom:237114,species:cdnom:237114,genus:Trachelipus,family:Trachelipodidae,species,cdnom:237114,Trachelipus rathkii,Trachelipus,Trachelipodidae,Isopoda,Malacostraca,"Trachelipus rathkii (Brandt, 1833)",Trachelipus rathkii
species:cdnom:18829,species:cdnom:18829,genus:Armadillidium,family:Armadillidiidae,species,cdnom:18829,Armadillidium vulgare,Armadillidium,Armadillidiidae,Isopoda,Malacostraca,"Armadillidium vulgare (Latreille, 1804)",Armadillidium vulgare
species:cdnom:311119,species:cdnom:311119,genus:Trachelipus,family:Trachelipodidae,species,cdnom:311119,Trachelipus razzautii,Trachelipus,Trachelipodidae,Isopoda,Malacostraca,"Trachelipus razzautii (Arcangeli, 1913)",Trachelipus razzautii
species:cdnom:237057,species:cdnom:237057,genus:Chaetophiloscia,family:Philosciidae,species,cdnom:237057,Chaetophiloscia sicula,Chaetophiloscia,Philosciidae,Isopoda,Malacostraca,"Chaetophiloscia sicula Verhoeff, 1909",Chaetophiloscia sicula
species:cdnom:237055,species:cdnom:237055,genus:Chaetophiloscia,family:Philosciidae,species,cdnom:237055,Chaetophiloscia elongata,Chaetophiloscia,Philosciidae,Isopoda,Malacostraca,"Chaetophiloscia elongata (Dollfus, 1884)",Chaetophiloscia elongata
species:cdnom:237211,species:cdnom:237211,genus:Trichoniscus,family:Trichoniscidae,species,cdnom:237211,Trichoniscus pusillus,Trichoniscus,Trichoniscidae,Isopoda,Malacostraca,"Trichoniscus pusillus Brandt, 1833",Trichoniscus pusillus
species:cdnom:237115,species:cdnom:237115,genus:Trachelipus,family:Trachelipodidae,species,cdnom:237115,Trachelipus ratzeburgii,Trachelipus,Trachelipodidae,Isopoda,Malacostraca,"Trachelipus ratzeburgii (Brandt, 1833)",Trachelipus ratzeburgii
species:cdnom:781044,species:cdnom:781044,genus:Eluma,family:Armadillidiidae,species,cdnom:781044,Eluma caelata,Eluma,Armadillidiidae,Isopoda,Malacostraca,"Eluma caelata (Miers, 1878)",Eluma caelata
