taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:1180,species:cdnom:1180,genus:Haplodrassus,family:Gphosidae,species,cdnom:1180,Haplodrassus signifer,Haplodrassus,Gphosidae,Araneae,Arachnida,"Haplodrassus signifer (C.L. Koch, 1839)",Haplodrassus signifer
species:cdnom:806888,species:cdnom:806888,genus:Agyneta,family:Linyphiidae,species,cdnom:806888,Agyneta rurestris,Agyneta,Linyphiidae,Araneae,Arachnida,"Agyneta rurestris (C. L. Koch, 1836)",Agyneta rurestris
species:cdnom:233745,species:cdnom:233745,genus:Prinerigone,family:Linyphiidae,species,cdnom:233745,Prinerigone vagans,Prinerigone,Linyphiidae,Araneae,Arachnida,"Prinerigone vagans (Audouin, 1826)",Prinerigone vagans
species:cdnom:233806,species:cdnom:233806,genus:Trichopterna,family:Linyphiidae,species,cdnom:233806,Trichopterna cucurbitina,Trichopterna,Linyphiidae,Araneae,Arachnida,"Trichopterna cucurbitina (Simon, 1881)",Trichopterna cucurbitina
genus:Pardosa,NA,genus:Pardosa,family:Lycosidae,genus,NA,NA,Pardosa,Lycosidae,Araneae,Arachnida,"Pardosa Koch, 1847",Pardosa
family:Gphosidae,NA,NA,family:Gphosidae,family,NA,NA,NA,Gphosidae,Araneae,Arachnida,"Gnaphosidae Pocock, 1898",Gnaphosidae
species:cdnom:233880,species:cdnom:233880,genus:Pardosa,family:Lycosidae,species,cdnom:233880,Pardosa cribrata,Pardosa,Lycosidae,Araneae,Arachnida,"Pardosa cribrata Simon, 1876",Pardosa cribrata
species:cdnom:907035,species:cdnom:907035,genus:Pardosa,family:Lycosidae,species,cdnom:907035,Pardosa tenuipes,Pardosa,Lycosidae,Araneae,Arachnida,"Pardosa tenuipes L. Koch, 1882",Pardosa tenuipes
species:cdnom:907604,species:cdnom:907604,genus:Haplodrassus,family:Gphosidae,species,cdnom:907604,Haplodrassus rufipes,Haplodrassus,Gphosidae,Araneae,Arachnida,"Haplodrassus rufipes (Lucas, 1846)",Haplodrassus rufipes
genus:Zodarion,NA,genus:Zodarion,family:Zodariidae,genus,NA,NA,Zodarion,Zodariidae,Araneae,Arachnida,"Zodarion Walckenaer, 1826",Zodarion
species:cdnom:233458,species:cdnom:233458,genus:Alioranus,family:Linyphiidae,species,cdnom:233458,Alioranus pauper,Alioranus,Linyphiidae,Araneae,Arachnida,"Alioranus pauper (Simon, 1881)",Alioranus pauper
species:cdnom:233757,species:cdnom:233757,genus:Silometopus,family:Linyphiidae,species,cdnom:233757,Silometopus curtus,Silometopus,Linyphiidae,Araneae,Arachnida,"Silometopus curtus (Simon, 1881)",Silometopus curtus
species:cdnom:233354,species:cdnom:233354,genus:Micaria,family:Gphosidae,species,cdnom:233354,Micaria pallipes,Micaria,Gphosidae,Araneae,Arachnida,"Micaria pallipes (Lucas, 1846)",Micaria pallipes
species:cdnom:1759,species:cdnom:1759,genus:Zora,family:Miturgidae,species,cdnom:1759,Zora manicata,Zora,Miturgidae,Araneae,Arachnida,"Zora manicata Simon, 1878",Zora manicata
species:cdnom:719821,species:cdnom:719821,genus:Eratigena,family:Agelenidae,species,cdnom:719821,Eratigena picta,Eratigena,Agelenidae,Araneae,Arachnida,"Eratigena picta (Simon, 1870)",Eratigena picta
species:cdnom:233660,species:cdnom:233660,genus:Metopobactrus,family:Linyphiidae,species,cdnom:233660,Metopobactrus verticalis,Metopobactrus,Linyphiidae,Araneae,Arachnida,"Metopobactrus verticalis (Simon, 1881)",Metopobactrus verticalis
species:cdnom:1788,species:cdnom:1788,genus:Phrurolithus,family:Phrurolithidae,species,cdnom:1788,Phrurolithus nigrinus,Phrurolithus,Phrurolithidae,Araneae,Arachnida,"Phrurolithus nigrinus (Simon, 1878)",Phrurolithus nigrinus
genus:Phaeocedus,NA,genus:Phaeocedus,family:Gphosidae,genus,NA,NA,Phaeocedus,Gphosidae,Araneae,Arachnida,"Phaeocedus Simon, 1893",Phaeocedus
species:cdnom:1894,species:cdnom:1894,genus:Alopecosa,family:Lycosidae,species,cdnom:1894,Alopecosa albofasciata,Alopecosa,Lycosidae,Araneae,Arachnida,"Alopecosa albofasciata (Brullé, 1832)",Alopecosa albofasciata
species:cdnom:457240,species:cdnom:457240,genus:Ipa,family:Linyphiidae,species,cdnom:457240,Ipa keyserlingi,Ipa,Linyphiidae,Araneae,Arachnida,"Ipa keyserlingi (Ausserer, 1867)",Ipa keyserlingi
