predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
t360_mean,2.108882657335154,2.108882657335154,0,Sørensen,collembola_soil_core,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,0.9514104018546288,0.7586070043459112,-0.19280339750871756,Bray-Curtis,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.43839041104693643,0.4270018264538459,-0.011388584593090556,Bray-Curtis,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,0.19060060247931943,0.2080680064776872,0.01746740399836777,Bray-Curtis,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,2.062083422148876,1.929862812613535,-0.1322206095353411,Bray-Curtis,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,0.7691854215670438,0.49600455705399893,-0.2731808645130449,Sørensen,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.3159095847902489,0.24207194796898757,-0.07383763682126132,Sørensen,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,0.1357861793128089,0.16080891884549084,0.025022739532681942,Sørensen,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,2.108882657335154,1.9917374247095652,-0.11714523262558862,Sørensen,collembola_soil_core,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,0.9441198052228743,0.9441198052228743,0,Bray-Curtis,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,0.4656329687025361,0.4656329687025361,0,Bray-Curtis,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,0.19093106778353125,0.19093106778353125,0,Bray-Curtis,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,2.0156197552080557,2.0156197552080557,0,Bray-Curtis,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,0.7615827035600641,0.7615827035600641,0,Sørensen,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,0.3348350666798396,0.3348350666798396,0,Sørensen,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
p_h,0.13924979038353025,0.13924979038353025,0,Sørensen,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
t360_mean,2.0480614346754353,2.0480614346754353,0,Sørensen,collembola_soil_core,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
Geographic,0.9441198052228743,0.36557288656543735,-0.578546918657437,Bray-Curtis,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,0.4656329687025361,0,-0.4656329687025361,Bray-Curtis,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,0.19093106778353125,0,-0.19093106778353125,Bray-Curtis,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,2.0156197552080557,1.5891509303709985,-0.42646882483705717,Bray-Curtis,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,0.7615827035600641,0.11568025543236393,-0.6459024481277001,Sørensen,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
mos,0.3348350666798396,0,-0.3348350666798396,Sørensen,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
p_h,0.13924979038353025,0.040840631289044305,-0.09840915909448594,Sørensen,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
t360_mean,2.0480614346754353,1.207828022324707,-0.8402334123507282,Sørensen,collembola_soil_core,rtu_family_level,resolution_family,rtu_mixed_family_resolvable,family_units,1
Geographic,0.6210865416147091,0.6210865416147091,0,Bray-Curtis,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
mos,0.5084818982614743,0.5084818982614743,0,Bray-Curtis,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
p_h,0.18949784765891747,0.18949784765891747,0,Bray-Curtis,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
t360_mean,1.9277742737505843,1.9277742737505843,0,Bray-Curtis,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
Geographic,0.651692372253942,0.651692372253942,0,Sørensen,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
mos,0.38665289569952666,0.38665289569952666,0,Sørensen,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
p_h,0.129789667658171,0.129789667658171,0,Sørensen,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
t360_mean,1.8604355174159997,1.8604355174159997,0,Sørensen,collembola_soil_core,species_baseline,species_error,species_baseline,species_units,1
Geographic,0.6210865416147091,0.5048199940135648,-0.1162665476011443,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,0.5084818982614743,0.47895557759184015,-0.02952632066963412,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,0.18949784765891747,0.16938083731299372,-0.020117010345923753,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,1.9277742737505843,1.8950561140047821,-0.03271815974580217,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
