predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,0.8878576343946182,0.8878576343946182,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.28250467643329746,0.28250467643329746,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.9512360354292528,0.9512360354292528,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.0884271454907062,1.0884271454907062,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.030415359360089954,0.030415359360089954,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.0072390227802772,1.0072390227802772,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_best_available,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.8588355539639847,1.9057701949219423,0.04693464095795763,Bray-Curtis,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.4986139754100706,0.47430551337781507,-0.024308462032255507,Bray-Curtis,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.8665467599249839,0.8353322530974315,-0.031214506827552335,Bray-Curtis,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0,0,0,Bray-Curtis,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,1.531866710441848,1.9060749832512143,0.3742082728093663,Sørensen,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
mos,0.21646699805069777,0.287342534349751,0.07087553629905322,Sørensen,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
p_h,0.909435911308906,0.8754939036053205,-0.033942007703585464,Sørensen,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
t360_mean,0,0,0,Sørensen,diplopoda_hand_sorting,rtu_species_only_drop_unresolved,workflow,rtu_mixed_best_available,species_only,1
Geographic,0.8878576343946182,0.7922873708510576,-0.09557026354356057,Bray-Curtis,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.28250467643329746,0.3554789447193527,0.07297426828605524,Bray-Curtis,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,0.9512360354292528,0.7878544591118246,-0.16338157631742822,Bray-Curtis,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Bray-Curtis,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,1.0884271454907062,1.047583605402824,-0.04084354008788216,Sørensen,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
mos,0.030415359360089954,0.08990217481370771,0.05948681545361776,Sørensen,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
p_h,1.0072390227802772,0.8578958385475677,-0.14934318423270954,Sørensen,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
t360_mean,0,0,0,Sørensen,diplopoda_hand_sorting,rtu_rare_species_to_genus,workflow,rtu_mixed_best_available,mixed_RTU,1
Geographic,0.6237800727361089,0.42328519229124206,-0.20049488044486685,Bray-Curtis,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,2.645712869877595,6.116078561509273,3.470365691631678,Bray-Curtis,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,1.1234311333025766,0.9376817425837094,-0.1857493907188672,Bray-Curtis,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.2281250411251983,0.26379905080092914,0.03567400967573084,Bray-Curtis,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,0.8727291778028092,0.8637659544885515,-0.008963223314257696,Sørensen,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
mos,1.061841642145286,5.347292702224126,4.28545106007884,Sørensen,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
p_h,1.1025033384262608,0.8215867158015738,-0.280916622624687,Sørensen,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
t360_mean,0.2826957921059645,0.4115303153729811,0.1288345232670166,Sørensen,diplopoda_hand_sorting,adult_only_strict,ontogenetic_filtering,rtu_mixed_best_available,adult_RTU,1
Geographic,2.122583545061355,2.122583545061355,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,0.45471627078988014,0.45471627078988014,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,0.8958196524881051,0.8958196524881051,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0,0,0,Bray-Curtis,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.9276757534833706,1.9276757534833706,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,0.29149996460368005,0.29149996460368005,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,0.9787787285102817,0.9787787285102817,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0,0,0,Sørensen,diplopoda_hand_sorting,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,2.122583545061355,0.6628389681056924,-1.4597445769556625,Bray-Curtis,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.45471627078988014,0.3091852541719272,-0.14553101661795292,Bray-Curtis,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,0.8958196524881051,0.33727806215309164,-0.5585415903350135,Bray-Curtis,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0,0,0,Bray-Curtis,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.9276757534833706,0.5180693339204556,-1.409606419562915,Sørensen,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.29149996460368005,0,-0.29149996460368005,Sørensen,diplopoda_hand_sorting,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
