predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
t360_mean,2.7528684007864825,1.8577678988572148,-0.8951005019292677,Bray-Curtis,formicidae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,2.4616280319144654,0.874047824282881,-1.5875802076315844,Sørensen,formicidae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,1.1441940621207667,0.2085104658312654,-0.9356835962895013,Sørensen,formicidae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,1.3685957780900637,0.5009593065495137,-0.86763647154055,Sørensen,formicidae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0.8733281305404409,0.6458324436926411,-0.22749568684779975,Sørensen,formicidae_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,3.6682691228693773,3.6682691228693773,0,Bray-Curtis,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
mos,1.9550120488116969,1.9550120488116969,0,Bray-Curtis,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
p_h,1.9145512250041719,1.9145512250041719,0,Bray-Curtis,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
t360_mean,2.8705450010858633,2.8705450010858633,0,Bray-Curtis,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
Geographic,2.09011583579513,2.09011583579513,0,Sørensen,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
mos,1.4664081800937876,1.4664081800937876,0,Sørensen,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
p_h,1.6866782669605784,1.6866782669605784,0,Sørensen,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
t360_mean,1.8963855560337926,1.8963855560337926,0,Sørensen,formicidae_pitfall,species_baseline,species_error,species_baseline,species_units,1
Geographic,3.6682691228693773,3.373191134651792,-0.29507798821758513,Bray-Curtis,formicidae_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,1.9550120488116969,1.4593687759755047,-0.49564327283619214,Bray-Curtis,formicidae_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,1.9145512250041719,1.7057510075829818,-0.20880021742119004,Bray-Curtis,formicidae_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,2.8705450010858633,2.302062483472476,-0.5684825176133872,Bray-Curtis,formicidae_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
Geographic,2.09011583579513,2.0811808856253133,-0.008934950169816602,Sørensen,formicidae_pitfall,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
