source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:222468,Semiophonus,222468,NA,NA,NA,no_candidate,2,0.1,FALSE,0
species:cdnom:9311,Harpalus,9311,species:cdref:250906,Harpalus,250906,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:8402,Carabus,8402,species:cdref:8459,Carabus,8459,coherent_random,31,0.1,TRUE,3.1
species:cdnom:9078,Pterostichus,9078,species:cdnom:222579,Pterostichus,222579,coherent_random,6,0.1,TRUE,0.6000000000000001
species:cdnom:222545,Poecilus,222545,species:cdnom:222539,Poecilus,222539,coherent_random,28,0.1,TRUE,2.8000000000000003
species:cdnom:9230,Amara,9230,species:cdref:9210,Amara,9210,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222450,Harpalus,222450,species:cdref:250911,Harpalus,250911,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:9300,Harpalus,9300,species:cdref:250909,Harpalus,250909,coherent_random,1,0.1,TRUE,0.1
species:cdnom:8780,Calathus,8780,species:cdnom:8782,Calathus,8782,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222557,Pterostichus,222557,species:cdref:222577,Pterostichus,222577,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9066,Stomis,9066,species:cdref:250926,Stomis,250926,coherent_random,2,0.1,TRUE,0.2
species:cdnom:9318,Harpalus,9318,species:cdref:794340,Harpalus,794340,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9320,Harpalus,9320,species:cdnom:9298,Harpalus,9298,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9315,Harpalus,9315,species:cdref:222458,Harpalus,222458,coherent_random,1,0.1,TRUE,0.1
species:cdnom:795439,Poecilus,795439,species:cdref:222548,Poecilus,222548,coherent_random,19,0.1,TRUE,1.9000000000000001
species:cdnom:222652,Amara,222652,species:cdref:251040,Amara,251040,coherent_random,10,0.1,TRUE,1
species:cdnom:9168,Cymindis,9168,species:cdref:250869,Cymindis,250869,coherent_random,4,0.1,TRUE,0.4
species:cdnom:222465,Pseudoophonus,222465,species:cdnom:222466,Pseudoophonus,222466,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222482,Ophonus,222482,species:cdref:222494,Ophonus,222494,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9103,Pterostichus,9103,species:cdref:9141,Pterostichus,9141,coherent_random,5,0.1,TRUE,0.5
species:cdnom:8820,Agonum,8820,species:cdref:222400,Agonum,222400,coherent_random,4,0.1,TRUE,0.4
species:cdnom:8379,Carabus,8379,species:cdref:8463,Carabus,8463,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222508,Badister,222508,species:cdref:9360,Badister,9360,coherent_random,2,0.1,TRUE,0.2
species:cdnom:222538,Pedius,222538,NA,NA,NA,no_candidate,3,0.1,FALSE,0
species:cdnom:251435,Carabus,251435,species:cdref:223033,Carabus,223033,coherent_random,1,0.1,TRUE,0.1
