source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:237094,Porcellio,NA,species:cdnom:237088,Porcellio,NA,coherent_random,6,0.23458724353390045,TRUE,1.4075234612034027
species:cdnom:237088,Porcellio,NA,species:cdnom:237094,Porcellio,NA,coherent_random,30,0.10491060463921986,TRUE,3.147318139176596
species:cdnom:237025,Armadillidium,NA,species:cdnom:18829,Armadillidium,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:237023,Armadillidium,NA,species:cdnom:237025,Armadillidium,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:237061,Philoscia,NA,NA,NA,NA,no_candidate,169,0.044201465140312965,FALSE,0
species:cdnom:237051,Oniscus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:237139,Hyloniscus,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
species:cdnom:311068,Orthometopon,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
species:cdnom:699887,Armadillidium,NA,species:cdnom:18829,Armadillidium,NA,coherent_random,43,0.08762858312655447,TRUE,3.7680290744418423
species:cdnom:237114,Trachelipus,NA,species:cdnom:237115,Trachelipus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:18829,Armadillidium,NA,species:cdnom:699887,Armadillidium,NA,coherent_random,14,0.15357340008073408,TRUE,2.1500276011302772
species:cdnom:311119,Trachelipus,NA,species:cdnom:237115,Trachelipus,NA,coherent_random,17,0.13936558967925733,TRUE,2.3692150245473744
species:cdnom:237057,Chaetophiloscia,NA,species:cdnom:237055,Chaetophiloscia,NA,coherent_random,19,0.13182665032314636,TRUE,2.504706356139781
species:cdnom:237055,Chaetophiloscia,NA,species:cdnom:237057,Chaetophiloscia,NA,coherent_random,9,0.19153968227468948,TRUE,1.7238571404722054
species:cdnom:237211,Trichoniscus,NA,NA,NA,NA,no_candidate,13,0.15937064901403247,FALSE,0
species:cdnom:237115,Trachelipus,NA,species:cdnom:311119,Trachelipus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:781044,Eluma,NA,NA,NA,NA,no_candidate,9,0.19153968227468948,FALSE,0
