source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:8838,Platynus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:222552,Pterostichus,NA,species:cdnom:9136,Pterostichus,NA,coherent_random,5,0.25,TRUE,1.25
species:cdnom:794337,Chlaenius,NA,species:cdnom:9389,Chlaenius,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9389,Chlaenius,NA,species:cdnom:794337,Chlaenius,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:222829,Tachyura,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:8784,Calathus,NA,species:cdnom:222356,Calathus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:8239,Syntomus,NA,species:cdnom:222315,Syntomus,NA,coherent_random,19,0.25,TRUE,4.75
species:cdnom:222315,Syntomus,NA,species:cdnom:8239,Syntomus,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:222355,Calathus,NA,species:cdnom:8782,Calathus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9231,Amara,NA,species:cdnom:222652,Amara,NA,coherent_random,15,0.25,TRUE,3.75
species:cdnom:9435,Demetrias,NA,NA,NA,NA,no_candidate,7,0.25,FALSE,0
species:cdnom:8321,Cicindela,NA,NA,NA,NA,no_candidate,4,0.25,FALSE,0
species:cdnom:9207,Amara,NA,species:cdnom:9212,Amara,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:222558,Pterostichus,NA,species:cdnom:9078,Pterostichus,NA,coherent_random,125,0.13322767968697258,TRUE,16.653459960871572
species:cdnom:8700,Tachys,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
species:cdnom:222456,Harpalus,NA,species:cdnom:9306,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:8540,Loricera,NA,NA,NA,NA,no_candidate,110,0.1420211837382918,FALSE,0
species:cdnom:222945,Asaphidion,NA,species:cdnom:222940,Asaphidion,NA,coherent_random,15,0.25,TRUE,3.75
species:cdnom:780498,Bembidion,NA,species:cdnom:8628,Bembidion,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9136,Pterostichus,NA,species:cdnom:9100,Pterostichus,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:8819,Agonum,NA,species:cdnom:8820,Agonum,NA,coherent_random,71,0.17677477631182584,TRUE,12.551009118139634
species:cdnom:8533,Notiophilus,NA,species:cdnom:8531,Notiophilus,NA,coherent_random,52,0.20656074862387153,TRUE,10.741158928441319
species:cdnom:8617,Bembidion,NA,species:cdnom:794284,Bembidion,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9206,Amara,NA,species:cdnom:9207,Amara,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9310,Harpalus,NA,species:cdnom:9309,Harpalus,NA,coherent_random,26,0.25,TRUE,6.5
species:cdnom:8520,Nebria,NA,species:cdnom:8506,Nebria,NA,coherent_random,95,0.15282262953629475,TRUE,14.518149805948001
species:cdnom:794284,Bembidion,NA,species:cdnom:780498,Bembidion,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:222409,Anisodactylus,NA,species:cdnom:9291,Anisodactylus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9376,Chlaenius,NA,species:cdnom:9389,Chlaenius,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:222468,Semiophonus,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:9311,Harpalus,NA,species:cdnom:222456,Harpalus,NA,coherent_random,6,0.25,TRUE,1.5
species:cdnom:8402,Carabus,NA,species:cdnom:8428,Carabus,NA,coherent_random,31,0.25,TRUE,7.75
species:cdnom:9078,Pterostichus,NA,species:cdnom:222568,Pterostichus,NA,coherent_random,6,0.25,TRUE,1.5
species:cdnom:222545,Poecilus,NA,species:cdnom:222539,Poecilus,NA,coherent_random,28,0.25,TRUE,7
species:cdnom:9230,Amara,NA,species:cdnom:222652,Amara,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:222450,Harpalus,NA,species:cdnom:222455,Harpalus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9300,Harpalus,NA,species:cdnom:222448,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:8780,Calathus,NA,species:cdnom:222355,Calathus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:222557,Pterostichus,NA,species:cdnom:222552,Pterostichus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9066,Stomis,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:9318,Harpalus,NA,species:cdnom:9320,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9320,Harpalus,NA,species:cdnom:9300,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9315,Harpalus,NA,species:cdnom:9318,Harpalus,NA,coherent_random,1,0.25,TRUE,0.25
