source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:9291,Anisodactylus,NA,species:cdnom:222409,Anisodactylus,NA,coherent_random,4,0.1,TRUE,0.4
species:cdnom:222447,Harpalus,NA,species:cdnom:9309,Harpalus,NA,coherent_random,5,0.1,TRUE,0.5
species:cdnom:222448,Harpalus,NA,species:cdnom:222449,Harpalus,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9304,Harpalus,NA,species:cdnom:9320,Harpalus,NA,coherent_random,188,0.1,TRUE,18.8
species:cdnom:222579,Pterostichus,NA,species:cdnom:9078,Pterostichus,NA,coherent_random,59,0.1,TRUE,5.9
species:cdnom:222607,Abax,NA,species:cdnom:9158,Abax,NA,coherent_random,232,0.1,TRUE,23.200000000000003
species:cdnom:8369,Carabus,NA,species:cdnom:251435,Carabus,NA,coherent_random,15,0.1,TRUE,1.5
species:cdnom:8428,Carabus,NA,species:cdnom:8447,Carabus,NA,coherent_random,30,0.1,TRUE,3
species:cdnom:8347,Cychrus,NA,NA,NA,NA,no_candidate,7,0.1,FALSE,0
species:cdnom:222455,Harpalus,NA,species:cdnom:9320,Harpalus,NA,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:9100,Pterostichus,NA,species:cdnom:222552,Pterostichus,NA,coherent_random,17,0.1,TRUE,1.7000000000000002
species:cdnom:8381,Carabus,NA,species:cdnom:8358,Carabus,NA,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:9327,Harpalus,NA,species:cdnom:9309,Harpalus,NA,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:9157,Abax,NA,species:cdnom:9158,Abax,NA,coherent_random,14,0.1,TRUE,1.4000000000000001
species:cdnom:9158,Abax,NA,species:cdnom:9157,Abax,NA,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:8410,Carabus,NA,species:cdnom:8402,Carabus,NA,coherent_random,50,0.1,TRUE,5
species:cdnom:8503,Leistus,NA,species:cdnom:8502,Leistus,NA,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:8506,Nebria,NA,species:cdnom:8520,Nebria,NA,coherent_random,91,0.1,TRUE,9.1
species:cdnom:8343,Calosoma,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
species:cdnom:9192,Amara,NA,species:cdnom:222652,Amara,NA,coherent_random,137,0.1,TRUE,13.700000000000001
species:cdnom:9278,Brachinus,NA,species:cdnom:9277,Brachinus,NA,coherent_random,9,0.1,TRUE,0.9
species:cdnom:8358,Carabus,NA,species:cdnom:8369,Carabus,NA,coherent_random,226,0.1,TRUE,22.6
species:cdnom:9298,Harpalus,NA,species:cdnom:9310,Harpalus,NA,coherent_random,50,0.1,TRUE,5
species:cdnom:222486,Ophonus,NA,species:cdnom:222482,Ophonus,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:222541,Poecilus,NA,species:cdnom:222545,Poecilus,NA,coherent_random,311,0.1,TRUE,31.1
species:cdnom:222466,Pseudoophonus,NA,species:cdnom:222465,Pseudoophonus,NA,coherent_random,23,0.1,TRUE,2.3000000000000003
species:cdnom:222335,Microlestes,NA,species:cdnom:9419,Microlestes,NA,coherent_random,45,0.1,TRUE,4.5
species:cdnom:9200,Amara,NA,species:cdnom:9212,Amara,NA,coherent_random,1,0.1,TRUE,0.1
species:cdnom:8782,Calathus,NA,species:cdnom:8780,Calathus,NA,coherent_random,97,0.1,TRUE,9.700000000000001
species:cdnom:9287,Diachromus,NA,NA,NA,NA,no_candidate,4,0.1,FALSE,0
species:cdnom:9316,Harpalus,NA,species:cdnom:9311,Harpalus,NA,coherent_random,18,0.1,TRUE,1.8
species:cdnom:9419,Microlestes,NA,species:cdnom:222335,Microlestes,NA,coherent_random,50,0.1,TRUE,5
species:cdnom:8532,Notiophilus,NA,species:cdnom:8531,Notiophilus,NA,coherent_random,9,0.1,TRUE,0.9
