predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
t360_mean,0.23465027021894835,0.23465027021894835,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.8763619647185439,1.8763619647185439,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
mos,0.9016811717651518,0.9016811717651518,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
p_h,1.7326157485721907,1.7326157485721907,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
t360_mean,0.45099431822851466,0.45099431822851466,0,Sørensen,diplopoda_pitfall,rtu_mixed_genus_resolvable,resolution_genus,rtu_mixed_genus_resolvable,genus_resolvable_RTU,1
Geographic,1.6651497792378094,0.4582207774783287,-1.2069290017594807,Bray-Curtis,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,1.4748342095643938,0.48545048865781387,-0.9893837209065799,Bray-Curtis,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,1.532397022088148,0.6099057774886193,-0.9224912445995287,Bray-Curtis,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0.23465027021894835,0.5985867109392804,0.36393644072033204,Bray-Curtis,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.8763619647185439,0.41081456360580776,-1.465547401112736,Sørensen,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
mos,0.9016811717651518,0.11438121544541133,-0.7872999563197405,Sørensen,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
p_h,1.7326157485721907,1.1350595614629695,-0.5975561871092212,Sørensen,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
t360_mean,0.45099431822851466,0.77294782430971,0.32195350608119533,Sørensen,diplopoda_pitfall,rtu_genus_level,resolution_genus,rtu_mixed_genus_resolvable,genus_units,1
Geographic,1.709849313064833,1.709849313064833,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
mos,1.4848245028124938,1.4848245028124938,0,Bray-Curtis,diplopoda_pitfall,rtu_mixed_family_resolvable,resolution_family,rtu_mixed_family_resolvable,family_resolvable_RTU,1
