"","STATION","ndvi_m","ndvi_max","ndvi_sd","HAB","LON","LAT","YEAR","MM","DD","DOY","YYYYMMDD","T2M_MAX","T2M_MIN","sampl_date","Altitude","T2M_MEAN","degree_days","DD_cum","T30_mean","T30_max","T30_min","T30_sd","T360_sd","T360_mean","LATITUDE","LONGITUDE","ALTITUDE","Al","Ca","Fe","K","Mg","Mn","Na","N","C.N","calc","Ctot","COT","CN","MOS","CEC","Hum_frais","pH","P","Hum_res","clay","sand","Cd_tot","Cd_disp","Cu_tot","Cu_disp","Pb_tot","Pb_disp"
"11",1237,0.55176,0.6894,0.107607074913449,100,-1.40321679085194,46.3506497510169,2024,4,15,106,"2024-04-15",15.04,6.68,"2024-04-16",3,10.86,0.859999999999999,116.585,12.2868333333333,16.0943333333333,8.47933333333333,2.94349389198191,6.05226547167583,14.7772361111111,46.3506497510169,-1.40321679085194,3,0.02,19.71,0.005,0.8177,2.707,0.005,0.22215,1.72254621982574,NA,45,25.1472568511963,19.7472568511963,11.5,34.2,21.700173,214.705882353,8.33,0.0251283484,33.36,410,327,0.077,0.042,11.3,2.93,31.3,9.84
"12",1243,0.707193333333333,0.7693,0.0637229658832071,100,-0.172179021232904,46.3766366548151,2024,3,20,80,"2024-03-20",17.92,6.93,"2024-03-21",92,12.425,2.425,30.915,8.77933333333333,12.906,4.65266666666667,3.78181086197542,6.81404575509855,14.1655416666667,46.3766366548151,-0.172179021232904,92,0.02,28.81,0.005,0.5473,1.091,0.0064,0.08744,2.73565739393234,NA,11,28.3845925331116,27.0645925331116,9.89,46.8,29.665859,259.493670886,7.95,0.0283611996,43.61,499,63,0.99,0.524,19.4,4.017,72.49,15.576
"13",1274,0.764933333333333,0.8912,0.0698501116336838,100,6.28092715602017,46.3317772191028,2024,5,15,136,"2024-05-15",14.93,8.85,"2024-05-17",432,11.89,1.89,85.815,9.26933333333333,13.2006666666667,5.338,4.16955187148316,7.79236637164324,11.32325,46.3317772191028,6.28092715602017,432,0.02,10.08,0.005,0.1639,1.095,0.0613,0.04487,2.04407766461372,10.6,1,21.8322420120239,21.7122420120239,NA,37.6,10.842545,266.272189349,6.76,0.031652092,19.89,204,341,0.173,0.09,15.6,2.21,20,2.95
"14",1274,0.764933333333333,0.8912,0.0698501116336838,100,6.28092715602017,46.3317772191028,2024,5,16,137,"2024-05-16",11.95,7.8,"2024-05-17",432,9.875,0,85.815,9.26933333333333,13.2006666666667,5.338,4.16955187148316,7.79236637164324,11.32325,46.3317772191028,6.28092715602017,432,0.02,10.08,0.005,0.1639,1.095,0.0613,0.04487,2.04407766461372,10.6,1,21.8322420120239,21.7122420120239,NA,37.6,10.842545,266.272189349,6.76,0.031652092,19.89,204,341,0.173,0.09,15.6,2.21,20,2.95
"15",1310,0.633453333333333,0.8024,0.187889404653249,100,5.02443580687463,46.228868438387,2024,5,15,136,"2024-05-15",17.52,10.08,"2024-05-16",202,13.8,3.8,152.105,11.219,15.744,6.694,3.75768411061335,7.93357524071494,13.7164861111111,46.228868438387,5.02443580687463,202,0.0281,22.1,0.0063,0.3588,0.5709,0.005,0.03592,1.64872720837593,8.41,179,35.348641872406,13.868641872406,NA,24,20.992951,229.508196721,8.33,0.0098111448,32.05,340,175,0.256,0.098,16.4,2.14,21.4,3.1
"16",1366,0.569653333333333,0.9106,0.226299336741237,100,-0.567270869874808,45.9346254946214,2024,2,25,56,"2024-02-25",13.49,7.65,"2024-03-11",61,10.57,0.57,25.01,8.6465,12.1796666666667,5.11333333333333,3.44336385273864,6.51428576185875,14.8791944444444,45.9346254946214,-0.567270869874808,61,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
"17",1366,0.569653333333333,0.9106,0.226299336741237,100,-0.567270869874808,45.9346254946214,2024,2,26,57,"2024-02-26",10.73,5.81,"2024-03-11",61,8.27,0,25.01,8.6465,12.1796666666667,5.11333333333333,3.44336385273864,6.51428576185875,14.8791944444444,45.9346254946214,-0.567270869874808,61,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
"18",1366,0.569653333333333,0.9106,0.226299336741237,100,-0.567270869874808,45.9346254946214,2024,2,27,58,"2024-02-27",10.98,2.2,"2024-03-11",61,6.59,0,25.01,8.6465,12.1796666666667,5.11333333333333,3.44336385273864,6.51428576185875,14.8791944444444,45.9346254946214,-0.567270869874808,61,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
"19",1366,0.569653333333333,0.9106,0.226299336741237,100,-0.567270869874808,45.9346254946214,2024,2,28,59,"2024-02-28",11.97,-0.07,"2024-03-11",61,5.95,0,25.01,8.6465,12.1796666666667,5.11333333333333,3.44336385273864,6.51428576185875,14.8791944444444,45.9346254946214,-0.567270869874808,61,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
"20",1366,0.569653333333333,0.9106,0.226299336741237,100,-0.567270869874808,45.9346254946214,2024,2,29,60,"2024-02-29",13.14,6.25,"2024-03-11",61,9.695,0,25.01,8.6465,12.1796666666667,5.11333333333333,3.44336385273864,6.51428576185875,14.8791944444444,45.9346254946214,-0.567270869874808,61,0.0275,25.78,0.005,0.2914,0.7225,0.005,0.08804,2.38966643810272,NA,332,63.4240055084229,23.5840055084229,9.87,40.8,24.554389,232.142857143,8.21,0.0571932748,29.22,444,247,0.496,0.203,135,50.6,34.4,5.25
