taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:233451,233451,Abacoproeces saltuum,Abacoproeces,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:1020287,1020287,Acantholycosa norvegica,Acantholycosa,Lycosidae,FALSE,TAXREF_mainland
species:cdref:1024320,1024320,Acantholycosa norvegica,Acantholycosa,Lycosidae,FALSE,TAXREF_mainland
species:cdref:1453,1453,Acartauchenius scurrilis,Acartauchenius,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:719843,719843,Achaeridion conigerum,Achaeridion,Theridiidae,FALSE,TAXREF_mainland
species:cdref:233202,233202,Aculepeira armida,Aculepeira,Araneidae,FALSE,TAXREF_mainland
species:cdref:233203,233203,Aculepeira carbonaria,Aculepeira,Araneidae,FALSE,TAXREF_mainland
species:cdref:457320,457320,Aculepeira ceropegia,Aculepeira,Araneidae,FALSE,TAXREF_mainland
species:cdref:304334,304334,Aelurillus luctuosus,Aelurillus,Salticidae,FALSE,TAXREF_mainland
species:cdref:2018,2018,Aelurillus v-insignitus,Aelurillus,Salticidae,FALSE,TAXREF_mainland
species:cdref:1556,1556,Agalenatea redii,Agalenatea,Araneidae,FALSE,TAXREF_mainland
species:cdref:233169,233169,Agelena labyrinthica,Agelena,Agelenidae,FALSE,TAXREF_mainland
species:cdref:233455,233455,Agnyphantes expunctus,Agnyphantes,Linyphiidae,FALSE,TAXREF_mainland
species:cdnom:233854,233854,Agraecina lineata,Agraecina,Liocranidae,TRUE,observed_RMQS
species:cdref:233855,233855,Agroeca annulipes,Agroeca,Liocranidae,FALSE,TAXREF_mainland
species:cdnom:1774,1774,Agroeca brunnea,Agroeca,Liocranidae,TRUE,observed_RMQS
species:cdref:1776,1776,Agroeca cuprea,Agroeca,Liocranidae,FALSE,TAXREF_mainland
species:cdnom:1777,1777,Agroeca inopina,Agroeca,Liocranidae,TRUE,observed_RMQS
species:cdnom:1778,1778,Agroeca lusatica,Agroeca,Liocranidae,TRUE,observed_RMQS
species:cdref:1779,1779,Agroeca proxima,Agroeca,Liocranidae,FALSE,TAXREF_mainland
species:cdnom:806878,806878,Agyneta affinis,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdref:907025,907025,Agyneta alpica,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:303091,303091,Agyneta cauta,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:233456,233456,Agyneta conigera,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:303092,303092,Agyneta decora,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:806879,806879,Agyneta equestris,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdnom:806880,806880,Agyneta fuscipalpa,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdref:806881,806881,Agyneta gulosa,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:965317,965317,Agyneta inermis,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:806882,806882,Agyneta innotabilis,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:1002018,1002018,Agyneta mesasiatica,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdnom:806883,806883,Agyneta mollis,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdref:806884,806884,Agyneta nigripes,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:906403,906403,Agyneta orites,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:1024326,1024326,Agyneta provincialis,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:806886,806886,Agyneta pseudorurestris,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdref:303094,303094,Agyneta ramosa,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdnom:806888,806888,Agyneta rurestris,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdnom:806889,806889,Agyneta saxatilis,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdnom:806890,806890,Agyneta simplicitarsis,Agyneta,Linyphiidae,TRUE,observed_RMQS
species:cdref:233457,233457,Agyneta subtilis,Agyneta,Linyphiidae,FALSE,TAXREF_mainland
species:cdnom:233458,233458,Alioranus pauper,Alioranus,Linyphiidae,TRUE,observed_RMQS
species:cdref:457230,457230,Allagelena gracilens,Allagelena,Agelenidae,FALSE,TAXREF_mainland
