taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:9069,9069,Abacetus salzmanni,Abacetus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222609,222609,Abax carinatus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdref:251022,251022,Abax carinatus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdnom:9157,9157,Abax ovalis,Abax,Carabidae,TRUE,observed_RMQS
species:cdnom:222607,222607,Abax parallelepipedus,Abax,Carabidae,TRUE,observed_RMQS
species:cdref:251019,251019,Abax parallelepipedus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdnom:9158,9158,Abax parallelus,Abax,Carabidae,TRUE,observed_RMQS
species:cdref:251020,251020,Abax parallelus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdref:222608,222608,Abax pyrenaeus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdref:251021,251021,Abax pyrenaeus,Abax,Carabidae,FALSE,TAXREF_mainland
species:cdref:222443,222443,Acinopus megacephalus,Acinopus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9241,9241,Acinopus picipes,Acinopus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9346,9346,Acupalpus brunnipes,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9348,9348,Acupalpus dubius,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9349,9349,Acupalpus elegans,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222418,222418,Acupalpus exiguus,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9351,9351,Acupalpus flavicollis,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222422,222422,Acupalpus interstitialis,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222419,222419,Acupalpus luteatus,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:9352,9352,Acupalpus maculatus,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdnom:9353,9353,Acupalpus meridianus,Acupalpus,Carabidae,TRUE,observed_RMQS
species:cdref:9355,9355,Acupalpus notatus,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222420,222420,Acupalpus parvulus,Acupalpus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222668,222668,Aepus marinus,Aepus,Carabidae,FALSE,TAXREF_mainland
species:cdref:7628,7628,Aepus robinii,Aepus,Carabidae,FALSE,TAXREF_mainland
species:cdref:222391,222391,Agonum afrum,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:795223,795223,Agonum alpestre,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:795437,795437,Agonum alpestre,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222387,222387,Agonum antennarium,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:274564,274564,Agonum dolens,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222392,222392,Agonum duftschmidi,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222397,222397,Agonum ericeti,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222400,222400,Agonum fuliginosum,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222401,222401,Agonum gracile,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222399,222399,Agonum gracilipes,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222393,222393,Agonum hypocrita,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222398,222398,Agonum impressum,Agonum,Carabidae,FALSE,TAXREF_mainland
species:cdref:222394,222394,Agonum longicorne,Agonum,Carabidae,FALSE,TAXREF_mainland
