observed_taxon_unit,observed_cd_nom,observed_label,observed_genus,observed_family,cd_ref,accepted_name,genus,family,match_method,in_regional_pool,override_note,n_regional_candidates,n_alternative_candidates,has_alternative_candidate,assemblage_id
species:cdnom:628325,628325,Tapinoma madeirense,Tapinoma,Formicidae,628325,Tapinoma madeirense,Tapinoma,Formicidae,cd_nom_alias,TRUE,NA,8,7,TRUE,formicidae_pitfall
species:cdnom:219406,219406,Messor barbarus,Messor,Formicidae,219406,Messor barbarus,Messor,Formicidae,cd_nom_alias,TRUE,NA,7,6,TRUE,formicidae_pitfall
species:cdnom:219350,219350,Tetramorium forte,Tetramorium,Formicidae,219350,Tetramorium forte,Tetramorium,Formicidae,cd_nom_alias,TRUE,NA,12,11,TRUE,formicidae_pitfall
species:cdnom:52779,52779,Camponotus aethiops,Camponotus,Formicidae,52779,Camponotus aethiops,Camponotus,Formicidae,cd_nom_alias,TRUE,NA,14,13,TRUE,formicidae_pitfall
species:cdnom:219519,219519,Camponotus piceus,Camponotus,Formicidae,219519,Camponotus piceus,Camponotus,Formicidae,cd_nom_alias,TRUE,NA,14,13,TRUE,formicidae_pitfall
species:cdnom:219505,219505,Formica gagates,Formica,Formicidae,219505,Formica gagates,Formica,Formicidae,cd_nom_alias,TRUE,NA,26,25,TRUE,formicidae_pitfall
species:cdnom:52792,52792,Formica rufibarbis,Formica,Formicidae,52792,Formica rufibarbis,Formica,Formicidae,cd_nom_alias,TRUE,NA,26,25,TRUE,formicidae_pitfall
species:cdnom:52816,52816,Lasius emarginatus,Lasius,Formicidae,52816,Lasius emarginatus,Lasius,Formicidae,cd_nom_alias,TRUE,NA,25,24,TRUE,formicidae_pitfall
species:cdnom:52788,52788,Formica cunicularia,Formica,Formicidae,52788,Formica cunicularia,Formica,Formicidae,cd_nom_alias,TRUE,NA,26,25,TRUE,formicidae_pitfall
species:cdnom:264385,264385,Lasius cinereus,Lasius,Formicidae,264385,Lasius cinereus,Lasius,Formicidae,cd_nom_alias,TRUE,NA,25,24,TRUE,formicidae_pitfall
species:cdnom:52812,52812,Crematogaster sordidula,Crematogaster,Formicidae,52812,Crematogaster sordidula,Crematogaster,Formicidae,cd_nom_alias,TRUE,NA,3,2,TRUE,formicidae_pitfall
species:cdnom:264386,264386,Lasius grandis,Lasius,Formicidae,264386,Lasius grandis,Lasius,Formicidae,cd_nom_alias,TRUE,NA,25,24,TRUE,formicidae_pitfall
species:cdnom:52820,52820,Pheidole pallidula,Pheidole,Formicidae,52820,Pheidole pallidula,Pheidole,Formicidae,cd_nom_alias,TRUE,NA,1,0,FALSE,formicidae_pitfall
species:cdnom:52822,52822,Plagiolepis pygmaea,Plagiolepis,Formicidae,52822,Plagiolepis pygmaea,Plagiolepis,Formicidae,cd_nom_alias,TRUE,NA,6,5,TRUE,formicidae_pitfall
