taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227521,227521,Chordeuma vasconicum,Chordeuma,Chordeumatidae,FALSE,TAXREF_mainland
species:cdref:227566,227566,Corsicosoma legeri,Corsicosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227479,227479,Cranogona dalensi,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227480,227480,Cranogona delicata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227481,227481,Cranogona denticulata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227482,227482,Cranogona orientale,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227483,227483,Cranogona pavida,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227484,227484,Cranogona touyaensis,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227485,227485,Cranogona uncinata,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227486,227486,Cranogona vasconicum,Cranogona,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:1038700,1038700,Craspedosoma raulinsii,Craspedosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227568,227568,Craspedosoma taurinorum,Craspedosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227569,227569,Crossosoma brolemanni,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227570,227570,Crossosoma cavernicola,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:288041,288041,Crossosoma mauriesi,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227571,227571,Crossosoma peyerimhoffi,Crossosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:887966,887966,Cylindroiulus britannicus,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdnom:227623,227623,Cylindroiulus caeruleocinctus,Cylindroiulus,Julidae,TRUE,observed_RMQS
species:cdnom:227626,227626,Cylindroiulus latestriatus,Cylindroiulus,Julidae,TRUE,observed_RMQS
species:cdref:227627,227627,Cylindroiulus limitaneus,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdnom:227628,227628,Cylindroiulus londinensis,Cylindroiulus,Julidae,TRUE,observed_RMQS
species:cdref:227629,227629,Cylindroiulus parisiorum,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227630,227630,Cylindroiulus punctatus,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227632,227632,Cylindroiulus schubarti,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:64871,64871,Cylindroiulus segregatus,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227635,227635,Cylindroiulus vulnerarius,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:1003418,1003418,Cylindroiulus zinalensis,Cylindroiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227537,227537,Cyrnosoma beroni,Cyrnosoma,Cyrnosomatidae,FALSE,TAXREF_mainland
species:cdref:227538,227538,Cyrnosoma coineaui,Cyrnosoma,Cyrnosomatidae,FALSE,TAXREF_mainland
species:cdref:227539,227539,Cyrnosoma strasseri,Cyrnosoma,Cyrnosomatidae,FALSE,TAXREF_mainland
species:cdref:227678,227678,Devillea tuberculata,Devillea,Xystodesmidae,FALSE,TAXREF_mainland
species:cdref:227467,227467,Doderia genuensis,Doderia,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227468,227468,Doderia remyi,Doderia,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227637,227637,Enantiulus armatus,Enantiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227638,227638,Enantiulus nanus,Enantiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227487,227487,Escualdosoma gourbaultae,Escualdosoma,Anthogonidae,FALSE,TAXREF_mainland
species:cdref:227693,227693,Eumastigonodesmus bonci,Eumastigonodesmus,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:1017140,1017140,Eurygyrus muscorum,Eurygyrus,Schizopetalidae,FALSE,TAXREF_mainland
species:cdref:227606,227606,Euzkadiulus sarensis,Euzkadiulus,Blaniulidae,FALSE,TAXREF_mainland
species:cdref:227472,227472,Fioria tuberculata,Fioria,Andrognathidae,FALSE,TAXREF_mainland
species:cdnom:227588,227588,Galliobates gracilis,Galliobates,Galliobatidae,TRUE,observed_RMQS
species:cdref:227685,227685,Galliocookia balazuci,Galliocookia,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227683,227683,Galliocookia fagei,Galliocookia,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227684,227684,Galliocookia leclerci,Galliocookia,Polydesmidae,FALSE,TAXREF_mainland
species:cdref:227448,227448,Geoglomeris duboscqui,Geoglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227449,227449,Geoglomeris granulosa,Geoglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227450,227450,Geoglomeris provincialis,Geoglomeris,Glomeridae,FALSE,TAXREF_mainland
