station,longitude,latitude,t360_mean,mos,p_h,x_l93,y_l93
1826,0.117461238742218,44.3664478290357,15.7839583333333,15.5,8.26,470339.7851849997,6367238.3323460035
1837,2.32434462405189,44.3889199310117,12.8552361111111,36.3,5.84,646178.6384793754,6365772.678231491
1875,1.32315689391354,44.2406504349493,15.5609305555556,22.8,8.56,566084.6587829998,6350492.545106006
1887,3.7226445983764,44.2375443985216,14.1751527777778,97.7,5.18,757718.2302011331,6348989.620731021
1893,4.92701588816509,44.2166800911093,16.1034861111111,11.5,8.61,853955.809791228,6348286.189054881
1992,6.10461897406734,43.8921670756657,12.6787777777778,23.9,8.39,949416.4976739987,6315255.072332679
1996,6.90327394449335,43.8563416618755,11.0478055555556,71.6,8.22,1013728.0172642961,6314125.950415085
2011,0.738134796235499,43.7995981085167,15.7560277777778,14.4,8.46,517971.42337399954,6302671.980665998
2021,2.72179965795729,43.8125780995336,13.6556388888889,26,6.5,677613.2817822025,6301546.555402554
2034,5.30087879165883,43.7733624323249,16.1072638888889,141,7.9,885252.3416348064,6299848.449391967
2076,4.50250101102574,43.6487932757976,17.5305,30.4,8.57,821245.1867491859,6284459.179562906
215,5.84561377272516,49.3740703250416,10.9891666666667,94.1,7.78,906674.4733000002,6923119.059826002
2182,-0.231911972629328,43.2099108298878,12.4428472222222,49,6.21,437259.93371996965,6239899.737469571
2205,5.85371529787471,43.1807256825456,17.5209027777778,78.4,8.22,932125.8693859011,6235472.409583568
223,-0.97102326693168906,49.2362523222868,13.3135416666667,60.3,6.79,410876.4608999997,6911334.819676004
2257,2.12771511077881,42.9518241882324,14.3040138888889,31,7.64,628751.773561664,6206220.368130961
2260,2.7153799533844,42.949275970459,15.3206944444444,168,6.77,676750.7918331734,6205585.377973057
2276,1.34712195396423,42.8033485412598,13.6600416666667,179,6.85,564654.4486180057,6190732.3561204
2312,1.73446702957153,42.5280876159668,8.05093055555556,172,5.11,595878.3180747761,6159534.0017016
288,3.85678097784408,49.1281765661728,12.179875,41.8,8.08,762536.2960000003,6892381.337726006
291,4.51525817503008,49.1161109411299,12.4164583333333,19.2,8.48,810619.5659500002,6891761.491776004
391,2.33579524769974,48.844838275277,12.9660694444444,38.9,8.39,651254.385227,6860737.467236007
400,4.28350622064533,48.8342724406152,12.2376944444444,26.3,8.39,794211.8614770004,6860123.306966
408,6.02441183229234,48.7932010535351,11.8629027777778,29,7.2,922128.1015830002,6859045.325046
423,-3.97184170007459,48.5339381716991,12.8624027777778,47.3,6.14,185951.0109999996,6848675.162976007
476,7.53207205813478,48.5925618400509,12.5971388888889,22,8.15,1034036.5353500007,6842072.6349760005
609,-1.9822890094208,48.1951376535824,13.5775277777778,52.9,7.46,330036.81999999884,6799984.824226
620,0.383482346651963,48.2601626337537,12.4596805555556,38.6,5.79,505854.76685299963,6798752.905946
633,3.18548869500691,48.2742531650272,13.0201944444444,65.4,7.85,713762.0620500003,6797118.207526
644,5.55313038104552,48.230551833153,11.4055555555556,42.3,6.03,889549.9556500003,6795309.706926004
730,-0.676113973755391,47.9484894161672,13.2959027777778,50,6.41,425669.5767079995,6767286.724596003
788,-0.027466457254098,47.8193557784935,13.4441805555556,18.7,6.39,473498.70878499985,6750893.8555060085
792,0.826715632239393,47.8334896790882,13.1935277777778,40.2,5.05,537428.6404999999,6750359.020526006
805,3.60554545922775,47.836519711785,13.0391805555556,19.5,4.3,745300.1935179998,6748632.022576012
812,5.10079251722604,47.8106367801133,11.7693472222222,49.9,7.27,857217.4945499997,6747673.967976008
870,6.37142360891853,47.6294797750949,12.2329444444444,28.8,5.68,953120.2156420005,6730859.7101460025
926,7.20806698950873,47.4531196404966,11.1145694444444,24.9,5.03,1016923.9169100008,6714309.471456002
