station,longitude,latitude,t360_mean,mos,p_h,x_l93,y_l93
1030,-0.625406540946352,47.0848050528202,13.849,20.4,6.86,425047.1573999998,6671263.2947760075
1058,5.27350873305645,47.0870418392033,12.9304722222222,11.5,6.43,872453.7737580002,6667681.510706003
1064,6.53783195380408,47.0487852584465,10.9383194444444,84.5,7.21,968494.8280580004,6666965.268956009
1090,2.74851568722079,46.9826323289556,13.5299166666667,40.3,8.29,680884.4770499998,6653632.291626004
1141,4.21101505944702,46.8204597659373,12.3179166666667,24.2,6.31,792322.9959860005,6636297.978846007
1166,0.860928957263222,46.6834260740623,14.1966111111111,21.7,7.6,536527.0084279998,6622585.198866003
1174,2.53499704476721,46.6928659613774,13.2554166666667,21.7,7.96,664465.380017,6621523.866646002
1180,3.78802433819848,46.6825057220501,13.4148888888889,24.1,6.77,760230.1158170003,6620569.173545995
1237,-1.40321679085194,46.3506497510169,14.7772361111111,34.2,8.33,361568.9633829993,6592852.490805999
1243,-0.172179021232904,46.3766366548151,14.1655416666667,46.8,7.95,456241.5803839994,6591196.885105999
1274,6.28092715602017,46.3317772191028,11.32325,37.6,6.76,952317.1129660003,6586560.858756001
1310,5.02443580687463,46.228868438387,13.7164861111111,24,8.33,856008.3491500001,6571889.879176006
1366,-0.567270869874808,45.9346254946214,14.8791944444444,40.8,8.21,423684.42429999943,6543456.582426
137,3.65039504410087,49.7054460263859,12.1668333333333,15.3,7.9,746943.6138000003,6956460.771176005
1372,0.672536029377586,45.9598382118547,14.1133472222222,21,5.47,519765.3406499998,6542670.327526003
1464,2.94301610784092,45.6779077470276,10.7942638888889,176,5.91,695564.036287012,6508706.913745266
1477,5.61003921649128,45.6401693491095,12.5689027777778,38.4,8.26,903282.43629713,6507874.376167081
1491,0.0710220240044624,45.5173490694814,15.04775,27.8,8.41,471382.03094999946,6495115.491176
152,0.555290562591357,49.5559367282316,12.7629166666667,24.6,6.51,523059.1766079996,6942368.857795999
1537,0.892398066995418,45.3884443655317,14.5235694444444,28.4,6.98,535093.3388499996,6478760.402826
1549,3.34517713570663,45.3911047765517,10.8700694444444,58.7,6.21,727009.7801611376,6476913.983149809
1556,4.77475157668675,45.3690149100078,13.0884861111111,19.2,8.49,838916.4940114317,6475962.948613972
157,1.6591608703299,49.5671766642783,12.2523194444444,44.3,6.63,602964.4337499994,6941704.163975999
1587,2.52555216920108,45.2538548457955,11.0544166666667,112,5.87,662783.4325001683,6461724.243232966
1660,0.70364058861398,44.9526610124959,15.2020555555556,27.1,8.38,518920.9373819999,6430794.476146009
1677,4.14437731617619,44.9465981199809,10.9955138888889,213,5.56,790259.0150901952,6428141.925463356
1686,5.96937133617335,44.9048619493119,4.65197222222222,95.5,6.36,934326.72473472415,6427258.773139656
1694,-0.907607097076179,44.7733595204167,15.7797916666667,43.2,5.34,390963.4592269994,6415894.516466002
1706,1.51554524633862,44.8178511311097,14.722375,102,7.41,582652.4753999999,6414291.164626005
1768,5.34894544254264,44.6346263421969,11.8371111111111,59.6,8.33,886275.1896591028,6395607.291648408
