code_ech,station,method
RMQS_2024_BUSSY-LETTREE_400_hand-sorting_6,400,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_1,1893,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_2,1893,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_3,1893,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_4,1893,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_5,1893,hand-sorting
RMQS_2024_CAIRANNE_1893_hand-sorting_6,1893,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_1,1706,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_2,1706,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_3,1706,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_4,1706,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_5,1706,hand-sorting
RMQS_2024_CALES_1706_hand-sorting_6,1706,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_1,1875,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_2,1875,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_3,1875,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_4,1875,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_5,1875,hand-sorting
RMQS_2024_CASTELNAU-MONTRATIER_1875_hand-sorting_6,1875,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_1,1274,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_2,1274,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_3,1274,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_4,1274,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_5,1274,hand-sorting
RMQS_2024_CHENS-SUR-LEMAN_1274_hand-sorting_6,1274,hand-sorting
RMQS_2024_CRECY-SUR-SERRE_137_hand-sorting_1,137,hand-sorting
RMQS_2024_CRECY-SUR-SERRE_137_hand-sorting_2,137,hand-sorting
RMQS_2024_CRECY-SUR-SERRE_137_hand-sorting_3,137,hand-sorting
RMQS_2024_CRECY-SUR-SERRE_137_hand-sorting_4,137,hand-sorting
RMQS_2024_CRECY-SUR-SERRE_137_hand-sorting_6,137,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_1,476,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_2,476,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_3,476,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_4,476,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_5,476,hand-sorting
RMQS_2024_DAHLENHEIM_476_hand-sorting_6,476,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_1,1174,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_2,1174,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_3,1174,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_4,1174,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_5,1174,hand-sorting
RMQS_2024_DREVANT_1174_hand-sorting_6,1174,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_1,2205,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_2,2205,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_3,2205,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_4,2205,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_5,2205,hand-sorting
RMQS_2024_EVENOS_2205_hand-sorting_6,2205,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_1,1537,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_2,1537,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_3,1537,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_4,1537,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_5,1537,hand-sorting
RMQS_2024_EYZERAC_1537_hand-sorting_6,1537,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_1,2257,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_2,2257,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_3,2257,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_4,2257,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_5,2257,hand-sorting
RMQS_2024_FESTES-ET-SAINT-ANDRE_2257_hand-sorting_6,2257,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_1,2011,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_2,2011,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_3,2011,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_4,2011,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_5,2011,hand-sorting
RMQS_2024_GOUTZ_2011_hand-sorting_6,2011,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_1,1826,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_2,1826,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_3,1826,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_4,1826,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_5,1826,hand-sorting
RMQS_2024_GREZET-CAVAGNAN_1826_hand-sorting_6,1826,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_1,423,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_2,423,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_3,423,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_4,423,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_5,423,hand-sorting
RMQS_2024_GUICLAN_423_hand-sorting_6,423,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_1,827,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_2,827,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_3,827,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_4,827,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_5,827,hand-sorting
RMQS_2024_ILE-D'ARZ_827_hand-sorting_6,827,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_1,644,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_2,644,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_3,644,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_4,644,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_5,644,hand-sorting
RMQS_2024_ILLOUD_644_hand-sorting_6,644,hand-sorting
RMQS_2024_LA PLAINE_1030_hand-sorting_3,1030,hand-sorting
RMQS_2024_LA TAGNIERE_1141_hand-sorting_1,1141,hand-sorting
RMQS_2024_LA TAGNIERE_1141_hand-sorting_2,1141,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_1,1237,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_2,1237,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_3,1237,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_4,1237,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_5,1237,hand-sorting
RMQS_2024_LA TRANCHE-SUR-MER_1237_hand-sorting_6,1237,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_1,2182,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_2,2182,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_3,2182,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_4,2182,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_5,2182,hand-sorting
RMQS_2024_LAGOS_2182_hand-sorting_6,2182,hand-sorting
RMQS_2024_LANTON_1694_hand-sorting_2,1694,hand-sorting
RMQS_2024_LANTON_1694_hand-sorting_3,1694,hand-sorting
RMQS_2024_LANTON_1694_hand-sorting_4,1694,hand-sorting
RMQS_2024_LANTON_1694_hand-sorting_5,1694,hand-sorting
RMQS_2024_LANTON_1694_hand-sorting_6,1694,hand-sorting
RMQS_2024_LA-PLAINE_1030_hand-sorting_1,1030,hand-sorting
RMQS_2024_LA-PLAINE_1030_hand-sorting_3,1030,hand-sorting
RMQS_2024_LA-PLAINE_1030_hand-sorting_4,1030,hand-sorting
RMQS_2024_LA-PLAINE_1030_hand-sorting_5,1030,hand-sorting
RMQS_2024_LA-PLAINE_1030_hand-sorting_6,1030,hand-sorting
RMQS_2024_LA-TAGNIERE_1141_hand-sorting_1,1141,hand-sorting
RMQS_2024_LA-TAGNIERE_1141_hand-sorting_2,1141,hand-sorting
RMQS_2024_LA-TAGNIERE_1141_hand-sorting_3,1141,hand-sorting
RMQS_2024_LA-TAGNIERE_1141_hand-sorting_6,1141,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_1,1237,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_2,1237,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_3,1237,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_4,1237,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_5,1237,hand-sorting
RMQS_2024_LA-TRANCHE-SUR-MER_1237_hand-sorting_6,1237,hand-sorting
RMQS_2024_LAURIS_2034_hand-sorting_1,2034,hand-sorting
RMQS_2024_LAURIS_2034_hand-sorting_2,2034,hand-sorting
RMQS_2024_LAURIS_2034_hand-sorting_3,2034,hand-sorting
